id,status,source_domain,sentence,prelabel_rule_v4,prelabel_sonnet46,unaligned,comment,human_spans
1804-s0003,todo,人工智能招聘,通过基于大数据的数据分析，我们将收益管理中的定价与选品、促销优化、用户行为分析、物流库存优化、客户服务水平等电商领域内的实际业务问题，转化为计算机可识别的统计优化模型来解决。,数据分析/S | 收益管理中/K | 定价与选品/K | 促销/K | 统计优化模型来解/K,数据分析/S,,只标技能本身，其余为业务描述,
1804-s0004,todo,人工智能招聘,我们团队在美国硅谷拥有实验室，并且与斯坦福大学OR方向的著名教授及团队有深入合作。,斯坦福大学OR/K,[],,公司背景介绍，非候选人能力要求,
1804-s0005,todo,人工智能招聘, 我们团队解决的问题包括动态定价、预测及促销决策、营销效果评估、 用户行为分析/选择模型，产品生命周期与管理等，我们的另一个重要的工作则是供应链基础运算平台的建设，包括常用优化算法与仿真算法的研究与应用。,动态定价/S | 预测及/S | 用户行为分析/选/S | 供应链基础运算平/S | 常用优化算法与仿/S,[],,团队工作描述，非候选人能力要求,
1804-s0006,todo,人工智能招聘, 工作职责： 1. 参与JD新一代动态定价模型搭建和具体问题解决方案的设计工作，和业务团队及产品经理合作了解业务背景及需求，并为其提供理论与技术支持。,动态定价模型搭建/S | 合作了/T | 供理论与技术支持/K,[],,岗位职责描述，非候选人能力要求,
1804-s0007,todo,人工智能招聘, 2. 运用机器学习相关技术，对海量数据进行处理和分析，建立模型，挖掘相关信息与分析关键因素，为优化定价和促销相关产品提供数据基础。,运用机/S | 海量数据进行处理/S | 优化定价和促销相/S,机器学习/K,数据处理 | 数据分析,修正半词，拆分并列能力,
1804-s0008,todo,人工智能招聘, 3. 基于大数据平台，提取并处理业务数据，通过数据分析和数据挖掘，给出直观的结论及业务洞见。,大数据平台，提取/K | 数据分析和数据挖/S,大数据/K | 数据分析/S | 数据挖掘/S,,修正半词，拆分并列,
1804-s0010,todo,人工智能招聘, 4. 跟进数据挖掘、机器强化学习、优化仿真算法相关技术的业界发展，并合理的运用到实际产品中， 开发优化模型和系统，给出最优决策。,数据挖掘/K | 机器强/K | 运用到/S | 开发优/S | 系统，给出最/S,数据挖掘/K | 强化学习/K | 仿真算法/K,机器学习 | 优化算法,修正半词，拆分技术领域知识,
1804-s0011,todo,人工智能招聘, 职位要求： 1. 在统计机器学习/计算机/自动化//运筹优化/应用数学相关领域拥有硕士或博士学位。,统计机器学习/计/K | 运筹优化/K | 应用数/K,统计/K | 机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士/K,,拆分专业领域和学历,
1804-s0015,todo,人工智能招聘,可独立研究学术与工程资料，对实际业务问题建模。,研究学术/S | 工程资料/K | 建模/S,研究/S | 建模/S,,研究是技能；工程资料是对象不标；建模是技能,
1804-s0017,todo,人工智能招聘, 3. 熟悉统计语言，如R或Python，熟悉数据库及SQL。,统计语言/K | R或Python/S | 数据库及SQL/K,R/S | Python/S | 数据库/S | SQL/S,,统计语言是概念不标；R和Python是工具拆开；数据库和SQL拆开都是工具,
1804-s0019,todo,人工智能招聘," 4. 掌握常用算法编程语言，如R,Python, C等。",常用算法编程语言/S | 如R/S | C等/S,R/S | Python/S | C/S,,常用算法编程语言是概念不标；R、Python、C是编程语言工具各标一条,
1804-s0020,todo,人工智能招聘,有在大数据平台上处理大规模实时数据及应用机器学习模型经验者加分。,大数据平台上处理/K,大数据平台/S | 处理/S | 机器学习/K,,大数据平台是工具；处理是技能；机器学习是领域知识,
1805-s0001,todo,人工智能招聘, 2.根据市场指定营销计划；,[],[],,岗位职责描述不标,
1805-s0002,todo,人工智能招聘, 3.开拓新市场，发展新客户，增加产品销售范围；,开拓新/S | 发展新/S | 增加产/S,开拓/S | 发展/S,,补全半词；开拓和发展是技能；增加产品销售是职责不标,
1805-s0004,todo,人工智能招聘, 5.跟踪客户使用情况，及时反馈并协助处理客户使用中的技术问题，协助公 司为客户提供组装调试等技术支持以及售后问题处理。,跟踪客户使用情况/S | 反馈并协助处理客/S | 组装调试等技术/S | 售后问题处理/S,跟踪/S | 反馈/S | 组装/S | 调试/S | 技术支持/S | 售后问题处理/S,,拆分并列技能，补全半词,
1806-s0003,todo,人工智能招聘, 4 开发过程技术文档的编写及同行评审。,开发过程技术/S | 的编写及同行评审/S,技术文档/S | 编写/S | 同行评审/S,,补全半词；技术文档、编写、同行评审都是技能,
1806-s0005,todo,人工智能招聘, 2 深刻理解面向对象、熟悉设计模式、多线程和跨平台编程；,面向对象/K | 设计模式/S | 多线程/S,面向对象/K | 设计模式/K | 多线程/S | 跨平台编程/S,,设计模式是知识理论归K；补全跨平台编程,
1807-s0001,todo,人工智能招聘,2.负责依据运营目标及用户反馈，优化核心流程转化与产品体验，提高用户活跃和留存；,优化核心流程转化/S,[],,整句是岗位职责描述，不是对候选人的能力要求,
1807-s0003,todo,人工智能招聘,4.掌控运营实施情况，通过多种运营渠道采集和分析产品数据、用户数据、进行数据挖掘，对用户需求进行有效分析，并提出改良建议和推进实施；,采集和分析产/S | 数据挖掘/S | 提出改/S | 推进实施/S,数据挖掘/S,,其他是职责描述；采集和分析产、提出改、推进实施都是半词或职责,
1808-s0000,todo,人工智能招聘,岗位职责： 1、负责大数据平台的基础开发和维护，参与团队分析型可视化、算法可视化等大数据可视化产品的建设，并推动可视化技术产生更多的业务价值；,大数据平台的基础/S | 分析型可视化、算/S | 建设/S | 推动可视化技术产/S,[],,整句是岗位职责描述，不是能力要求,
1808-s0001,todo,人工智能招聘, 2、负责数据平台各类接口的开发，支持用户对数据查询、提取、新增、更新等操作；,数据平台各/K | 接口的开发/S | 数据查询/S | 提取/S,[],,整句是岗位职责描述，不是能力要求,
1808-s0002,todo,人工智能招聘, 3、尝试各种前沿可视化技术与思想，推动团队技术继续前进，具备研究和学习新技术的能力，能够将新技术合理的应用到产品中。,尝试各种前沿可视/K | 研究和学习新/S | 将新技术合理的应/S,研究/S | 学习新技术/S,,拆分并列；其他是职责描述,
1808-s0003,todo,人工智能招聘, 岗位要求： 1、掌握数据可视化库，如HighCharts/DataTable/ECharts/D3.js等，有1年以上的实际项目开发经验；,数据可视化库/K | HighCharts/DataTable/ECharts/D3./K | 项目开发经验/S,HighCharts/S | DataTable/S | ECharts/S | D3.js/S,,可视化库是具体工具归S；拆开并列；删除经验年限,
1808-s0006,todo,人工智能招聘, 4、了解模块化、前端编译和构建工具，掌握常用编译工具，如 webpack／gulp等；,模块化/K | 前端编译/K | 常用编译工具/K | 如 webpack／gulp等/S,模块化/K | 前端编译/K | 构建工具/K | webpack/S | gulp/S,,理论知识归K；具体工具归S；拆开并列,
1809-s0000,todo,人工智能招聘,工作职责: 1. 深度理解客户需求，把握客户需求意图，并将商业需求转化为技术语言；,深度理解客户需求/T | 商业需求转化为技/S,理解客户需求/T | 把握客户需求意图/T | 商业需求转化为技术语言/S,,补全半词；深度理解拆为理解；转化是完整能力,
1809-s0002,todo,人工智能招聘, 3. 将公司技术能力/产品能力转化为商业语言，协助销售进行商业产品解决方提案，并不断深挖客户需求与公司数据能力的结合点；,技术能力/K | 产品能/K | 商业语言/S | 客户需求与公/T | 数据能力的结/K,技术能力/K | 产品能力/K | 转化为商业语言/S | 协助销售/S | 数据能力/K,,补全半词；商业语言改为转化动作；客户需求与公是半词删除,
1809-s0003,todo,人工智能招聘, 4. 探索出符合市场需求的、可标准化、可落地的商业产品解决方案。,可标准化/S | 可落地/S,标准化/S | 落地/S,,去掉可字前缀,
1809-s0004,todo,人工智能招聘, 任职资格: 1. 有5年及以上工作经历（尤其是技术类商业产品售前咨询经历），计算机相关专业背景；,技术类商业产品售/K | 计算机相关专业背/K,售前咨询/S | 计算机相关专业/K,,补全半词；技术类商业产品售是定语不标；背景补全为专业,
1809-s0006,todo,人工智能招聘, 3. 具备较强的客户导向意识、良好的客户沟通界面；,客户导向意识/T | 客户沟通界/T,客户导向意识/T | 客户沟通/T,,界面是半词删除,
1810-s0000,todo,人工智能招聘,工作职责：-负责移动在线广告投放系统的策略设计与优化-应用移动定位、用户画像、机器学习、分类聚类等技术，提高广告系统的用户体验、投放能力及变现效率-主要方向：广告投放策略，CTR预估，广告匹配技术，广告相关性等职位要求：-良好的逻辑思维能力，能够从海量数据中发现有价值的规律-熟悉python等语言编程，数据结构和算法基础扎实-对解决挑战性问题充满热情，善于解决问题和分析问题-良好的团队合作精神，较强的沟通能力和学习能力-熟悉大规模数据挖掘、推荐算法、机器学习算法优化理论等技术者优先-有搜索引擎、推荐系统或广告行业相关背景者优先。,策略设计与优化-/S | 移动定位/K | 用户画/K | 技术/K | 用户体验/K | 投放能/K | 广告投放策略，CTR/K | 逻辑思维能力/T | 海量数据中/K | 规律-/K | python等语言编程，数/S | 挑战性问题充/K | 解决问题和分析问/T | 团队合作精神/T | 沟通能力和学习能/T | 大规模数据挖掘/K | 搜索引擎/K | 推荐系/K,广告/K | 策略设计/S | 优化/S | 移动定位/K | 用户画像/K | 机器学习/K | 分类/S | 聚类/S | 广告投放策略/K | CTR预估/K | 广告匹配技术/K | 广告相关性/K | 逻辑思维能力/T | python/S | 数据结构/K | 算法/K | 解决问题/T | 分析问题/T | 团队合作精神/T | 沟通能力/T | 学习能力/T | 数据挖掘/K | 推荐算法/K | 机器学习算法/K | 搜索引擎/K | 推荐系统/K,,拆分并列；删半词和冗余定语；技术是泛指删除；python是工具S不是K；大规模是修饰词不标,
1811-s0001,todo,人工智能招聘,2、与研发、设计、产品与运营团队紧密沟通，推动内部后台产品落地并负责优化更新迭代；,研发/T | 设计/T | 产品/T | 沟通/T | 推动内/T | 落地并负责优/S | 更新迭/S,沟通/T | 推动/T | 产品落地/S | 优化/S | 迭代/S,,研发设计产品是团队名词不是能力；拆分动作；删半词,
1811-s0002,todo,人工智能招聘,3、可以独立管理项目闭环，从需求评审-UI设计-技术排期-研发-测试-验收-数据检测-问题收集-持续迭代；,管理项/S | 需求评审-UI设计/S,需求评审/S | UI设计/S | 技术排期/S | 研发/S | 测试/S | 验收/S | 数据检测/S | 问题收集/S | 迭代/S,项目管理,拆分流程各环节为独立S,
1811-s0003,todo,人工智能招聘,4、制定合理的数据衡量指标，定期进行数据分析并产出和商业化合作的方案，能统筹协调产品、市场、运营、商业化团队资源将项目落地。,制定合理的数据衡/S | 进行数据分析并产/S | 统筹协调产品、市/T,制定/S | 数据分析/S | 统筹协调/T,,补全半词，拆分并列,
1811-s0004,todo,人工智能招聘,职位要求：1、本科及以上学历，3年以上产品经验，有内容型产品经验优先；,产品经验/K | 内容型产品经验优/K,本科及以上学历/K | 产品经验/K | 内容型产品经验/K,,补全半词，添加学历,
1811-s0005,todo,人工智能招聘,2、较强的数据及业务分析能力，善于通过数据分析挖掘问题并制定相应运营策略；,数据及业务分析能/K | 数据分析挖/S | 制定相应/S | 运营策略/K,业务分析能力/T | 数据分析/S | 制定/S | 运营策略/K,数据分析能力,补全半词，拆分能力与技能,
1811-s0006,todo,人工智能招聘,3、出色的沟通协作和项目管理能力，抗压力强，具备解决复杂问题的能力；,沟通协/T | 项目管理能力，抗/T | 解决复杂问题的能/T,沟通/T | 协作/T | 项目管理能力/T | 抗压力/T | 解决复杂问题的能力/T,,补全半词，拆分并列,
1811-s0007,todo,人工智能招聘,4、极致判断力和执行力，能适应快速变化和高强度工作压力。,致判断力和执行力/T | 适应快/T | 和高强度工作压力/T,判断力/T | 执行力/T,,补全半词，删除适应性口号,
1812-s0000,todo,人工智能招聘,岗位职责：1、智能环保机器人的控制系统设计和代码书写。,控制系统设计和代/S,控制系统设计/S | 代码书写/S,,补全半词，拆分并列,
1812-s0001,todo,人工智能招聘,2、固液分离系统控制设计和代码书写。,固液分离系统控制/S,控制设计/S | 代码书写/S,,补全半词，拆分并列,
1812-s0002,todo,人工智能招聘,"岗位要求：1、计算机科学与技术、自动化、电子信息信息等专业本科以上学历2、精通C/C++,熟悉至少一种嵌入式操作系统，有Linux/Android嵌入式系统开发经验，丰富的软件代码调试经验，有良好的开发习惯文档规范以及编码习惯。",计算机科学与技术/K | C/C++/S | Linux/Android嵌入式系统/S | 软件代码调试经验/S | 开发习惯文/S | 编码习惯/S,计算机科学与技术/K | 自动化/K | 电子信息/K | 本科以上学历/K | C/C++/S | 嵌入式操作系统/K | Linux/S | Android/S | 嵌入式系统开发/S | 软件代码调试/S,,补全半词，拆分并列，区分K与S，删除习惯类,
1812-s0003,todo,人工智能招聘,"3、精通ARM,DSP或者mips等CPU，精通外围设备驱动的开发调试。","ARM,DSP或者mips/K | 外围设备驱动的开/S",ARM/S | DSP/S | mips/S | 外围设备驱动的开发调试/S,,ARM/DSP/mips都是CPU架构工具属S；补全开发调试,
1812-s0004,todo,人工智能招聘,4、熟练嵌入式软件设计方法，有程序架构设计经验，对软件的模块化、可移植性有深入理解，精通计算机原理，能重构代码性能。,嵌入式软件设计方/S | 程序架构设计经验/S | 软件的模块化、可/K | 计算机原理/K | 重构代码性能/S,嵌入式软件设计方法/S | 程序架构设计/S | 软件的模块化/K | 可移植性/K | 计算机原理/K | 重构代码性能/S,,补全半词；模块化与可移植性拆开为两条K,
1812-s0005,todo,人工智能招聘,5、会使用GCC编译器6、熟悉modbus通信协议7、熟悉Linux/ARM系统架构（驱动、kernel、BootLoader）者优先8、具有USB/FLASH/CAN/SPI/串口开发经验者优先9、有过机器人竞赛经验者优先。,会使用GCC编译器6/S | modbus通信协议7/K | ARM系统架构（驱动/K | 串口开发经验/S,GCC/S | modbus通信协议/K | Linux/S | ARM/S | 驱动/S | kernel/S | BootLoader/S | USB/S | FLASH/S | CAN/S | SPI/S | 串口开发/S,,去掉序号；拆分并列技能；ARM系统架构内容拆开,
1813-s0001,todo,人工智能招聘,职位描述：1根据公司业务特点设计并建立公司数据库集群2为解决业务部门问题及工作需要提供必要的数据库技术支持3通过学习使用相关软件，帮助完成业务部门相关数据处理工作流程优化4协助业务部门对公司数据进行监督管控，制定数据标准，完善分析方法5结合公司业务运作流程，通过数据分析和挖掘，为公司管理层提供决策支持6各种临时性数据的整理和分析？,设计并建立公/S | 数据库集群2/K | 数据库技术支持3/S | 学习使/T | 数据处理工作/S | 流程优化4/S | 数据进行监督管控/S | 数据分析和挖掘/S | 决策支持6/S | 数据的整理和分析/S,设计/S | 建立/S | 数据库集群/K | 数据库技术支持/S | 数据处理/S | 流程优化/S | 数据进行监督管控/S | 数据分析/S | 决策支持/S | 数据的整理/S,数据挖掘,去掉序号；设计建立拆开；数据分析和挖掘拆开；整理和分析拆开；删学习使用半词,
1813-s0002,todo,人工智能招聘,任职要求：1熟练使用sqlserver或mysql数据库2较强的学习能力和抗压能力3本科（含）以上学历，计算机相关专业4有数据分析或相关软件实施工作经验优先考虑5有银行、咨询、服务行业工作经验优先考虑发展空间：1完善的培训体系：我们为新员工提供入职培训、专业知识培训、工作技能培训等多种形式的培训活动，传统的师徒制让新员工能够快速全面的投入工作。,使用sqlserver或mysql/S | 学习能力和抗压能/T | 计算机相关专业4/K | 数据分析或相关软/K | 培训体系/K | 入职培训/K | 专业知/K,sqlserver/S | mysql/S | 学习能力/T | 抗压能力/T | 本科（含）以上学历/K | 计算机相关专业/K | 数据分析/S,,去序号；拆开sqlserver和mysql；学习能力和抗压能力拆开；福利培训段不标,
1814-s0003,todo,人工智能招聘, 岗位职责： 1.负责调研、挖掘和分析和汇总行业/客户与3D打印相关的材料/设备需求及相应工艺标准。,调研/S | 挖掘和分析/S | 3D打印相关/K | 材料/K | 设备需求及/K | 工艺标准/K,调研/S | 挖掘/S | 分析/S | 汇总/S | 3D打印/K,,拆开并列动词；3D打印是领域知识K；材料设备需求工艺标准是职责描述不标,
1814-s0004,todo,人工智能招聘, 2.负责与研发项目负责人对接，组织协调新产品或新工艺的整体转产进度，对产品转生产和量产阶段的交付内容和时间节点负责。,组织协调新/T | 交付内容和时间节/T,组织协调/S,,组织协调是可执行技能S；交付内容时间节点是职责结果不标,
1814-s0005,todo,人工智能招聘, 3.负责构建新产品/新工艺转生产阶段转产流程，提升工艺团队转产能力，承接公司新产品/新工艺的转产工作。,构建新/S | 转产流程，提升工/S | 转产能力，承接公/S | 转产工作/S,构建/S | 转产流程/K | 提升工艺团队转产能力/S | 承接/S | 转产工作/S,,构建是动词S；转产流程是方法论K；提升能力承接工作都是可执行S,
1814-s0006,todo,人工智能招聘, 4.负责建立各产品线工艺标准和品质控制点。,建立各/S | 工艺标准和品质控/K,工艺标准/K | 品质控制/K,,删除半词和动词，拆分并列概念,
1814-s0007,todo,人工智能招聘, 5.负责工艺改善优化工作，对提质增效降本做出贡献。,工艺改善优/S | 提质增/S | 降本做/S,工艺改善/S | 优化/S,,补全半词，删除口号性表述,
1814-s0010,todo,人工智能招聘, 3、具备3年以上3D打印研发、制造、工艺经验；,3D打印研/K | 制造/S | 工艺经验/S,3D打印/K | 制造/S | 工艺/K,,补全半词，工艺是领域知识归K,
1814-s0011,todo,人工智能招聘, 4、熟练使用office（word、excel、PPT）、CAD绘图等软件；,使用office（word、excel/S | CAD绘图等软件/S,office/S | word/S | excel/S | PPT/S | CAD/S,,删除动词，拆分并列工具，CAD是工具归S,
1815-s0000,todo,人工智能招聘,岗位职责：1、主要负责北京总部与全国分公司的软件技术、硬件产品、销售、售前、商务、市场供应链等类职位的招聘；,软件技术/K | 硬件产/K,[],,整句是岗位职责描述，不是对候选人的能力要求,
1815-s0001,todo,人工智能招聘,2、负责全部招聘流程管理，包括但不仅限于招聘需求确定、人员搜集、面试、offer谈判、背景调查、确保顺利入职和试用期维护等。,招聘流程管理/S | 招聘需求确定、人/S | 入职和试用期维护/S,[],,整句是岗位职责描述，不是对候选人的能力要求,
1815-s0002,todo,人工智能招聘,任职要求：1、统招本科及以上学历，4年以上招聘经验，具有物联网安防行业的招聘经验优先。,招聘经验/S | 物联网安防行业的/K,招聘/S | 物联网/K | 安防/K,,删除年限，拆分行业领域知识,
1815-s0003,todo,人工智能招聘,2、熟练掌握人力资源规划与配置方法，职位分析、招聘面试等方面的专业知识和技巧。,人力资源规划与配/S | 的专业知识和技巧/K,人力资源规划/K | 配置/S | 职位分析/K | 招聘面试/S,,拆分并列能力，规划是知识归K，配置和面试是技能归S,
1815-s0008,todo,人工智能招聘,3.技术优势：公司拥有完备的应用大数据、云计算、物联网和移动互联网等先进技术，综合研发软、硬件产品和应用服务的能力。,应用大数据/K | 云计/K | 研发软/S | 硬件产品/S,[],,公司简介技术优势宣传,
1816-s0000,todo,人工智能招聘,"职位诱惑：------------初创团队氛围，一对一指导,弹性工作制,成长空间大,干货满满岗位职责：------------1.媒体平台账号运营：将撰稿团队生产的每一篇内容编辑发布到各大自媒体平台：包括微信公众号、头条号、微博、知乎专栏、百家号、腾讯网易搜狐凤凰自媒体平台等等。","指导,弹性工作制/T | 运营/S | 编辑发/S | 微信公众号/K | 头条/K | 搜狐凤/K",[],,职位诱惑福利与岗位职责混合句,
1816-s0002,todo,人工智能招聘,2.运营第三方渠道：将文章投稿至第三方网站，维护已入驻的第三方平台，开拓新的平台和合作方。,运营第/S | 将文章投稿至/S | 维护已/S | 开拓新/S,运营/S | 投稿/S | 维护/S | 开拓/S,,补全半词，拆分独立技能,
1816-s0003,todo,人工智能招聘,3.读者运营：维护读者群，定期进行读者沟通交流，统计分析数据用作内容创作方向参考。,维护读/S | 定期进/T | 读者沟通交流，统/T | 用作内/S,维护/S | 沟通/T | 统计分析/S,,补全半词，拆分并列能力,
1816-s0005,todo,人工智能招聘,任职要求：------------1.互联网深度用户，搜索引擎爱好者优先；,互联网深/K | 搜索引擎爱/K,[],,用户属性描述非明确能力要求,
1816-s0006,todo,人工智能招聘,2.对运营思路逻辑清晰，表达能力强；,运营思路逻/K | 表达能力强/T,运营/S | 逻辑清晰/T | 表达能力/T,,补全半词，拆分软硬技能,
1816-s0011,todo,人工智能招聘,3.学习支持：酌情报销员工用于学习工作技能的开销（比如网络课程、线下培训之类的），鼓励自我驱动。,学习支持/T | 工作技能的开销（/S | 自我驱动/T,[],,学习支持属于福利,
1816-s0012,todo,人工智能招聘,4.能力提升：对各大媒体平台特性的横向了解、掌握典型互联网思维和运营推广方法论、随时接触互联网前沿科技动态。,掌握典/K | 和运营推广方法论/K | 接触互/S,[],,能力提升属于培养计划非岗位要求,
1817-s0000,todo,人工智能招聘,[岗位职责: 1.参与大数据产品的规划、需求分析和整体架构设计，承担核心功能和模块的代码编写；,大数据产品的规划/S | 核心功能和模块的/S,规划/S | 需求分析/S | 架构设计/S | 代码编写/S,,拆开并列，只标能力不标岗位职责整句,
1817-s0001,todo,人工智能招聘, 2.参与基于Spark StreamingStorm流式处理框架离线数据的开发与优化工作。,Spark StreamingStorm流式处理/S | 开发与优化工作/S,Spark Streaming/S | Storm/S | 开发/S | 优化/S,,拆开框架名，分开开发与优化,
1817-s0002,todo,人工智能招聘, 3.参与流式处理框架开发离线ETL开发，结合业务的应用、处理实时数据离线数据及相应应用场景的开发;,流式处理框架开发/S | 实时数据离/K | 应用场景的开发/S,流式处理/S | 开发/S | ETL/S,,删除半词，只标技能,
1817-s0003,todo,人工智能招聘, 4.负责处理系统的运维，保证系统的高可用性和稳定性；,处理系统的运维/S,运维/S,,只标运维技能,
1817-s0004,todo,人工智能招聘, 5.负责优化分布式框架，解决大并发下的各种问题. 6.参与大数据的挖掘、存储、抽取、计算、应用、整合、可视化及Rest API接口设计等研发工作；,优化分/S | 解决大/S | 大数据的挖掘、存/K,优化/S | 分布式框架/K | 挖掘/S | 存储/S | 抽取/S | 计算/S | 可视化/S | Rest API/S,,删除半词，拆开并列能力,
1817-s0006,todo,人工智能招聘, 任职资格: 1、数学、计算机等相关专业，本科以上学历，5年以上的数据管理与数据运维经验；,数学/K | 计算机等相/K | 数据管理与数据运/S,数学/K | 计算机/K | 本科以上学历/K | 数据管理/S | 数据运维/S,,补全专业词，拆开技能,
1817-s0009,todo,人工智能招聘, 4、有一定的大数据项目实施、BI项目实施经验；,大数据项目实施/S,大数据/K | BI/K,,只标领域知识,
1818-s0002,todo,人工智能招聘,3、参与公司AI产品的开发、实施、测试文档编写工作。,开发/S | 实施/S | 测试/S,开发/S | 实施/S | 测试/S | 文档编写/S,,拆开并列技能,
1818-s0003,todo,人工智能招聘, 岗位要求1、计算机相关专业，全日制本科及以上学历，2年以上后端开发经验，有过运营商项目经验的更佳；,计算机相关专业/K | 后端开发经验/S | 运营商项目经验/K,计算机相关专业/K | 本科及以上学历/K | 后端开发/S,,补全学历；后端开发是技能；运营商项目经验删掉（年限相关）,
1818-s0004,todo,人工智能招聘,2、熟练python编程语言，熟悉服务端开发流程，熟悉常见的算法和数据结构；,python编程语言/S | 服务端开发流程/S | 常见的算法和数据/S,python/S | 服务端开发/S | 算法/K | 数据结构/K,,python是工具S；算法和数据结构是知识K；修正半词,
