file,line,numbers,study,source,text
tex/tables_EFG_appendix.tex,30,"1; 0,; 1; 1; 0.1293; 0.1399; 0.1673; 42,; 43,; 44,; 42; 0; 0.1313; 1; 1; 1; 0",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"The P1 no-demonstration mean is numerically higher than P0, but the direction is not uniform across seeds. P1 exact F1 is 0.1293, 0.1399, and 0.1673 for seeds 42, 43, and 44, respectively; seed 42 is slightly below its P0 value of 0.1313. The three-seed summaries do not establish a statistically reliable improvement. Both demonstration conditions have substantially lower exact F1 in this setup, while retaining appreciable relaxed-match scores. This pattern is consistent with boundary/localization sensitivity, but aggregate F1 alone cannot isolate parser errors, type errors, boundary shifts, or demonstration-induced distribution changes. The contrast does not establish the general effectiveness or ineffectiveness of retrieval augmentation, and P1 does not replace the designated P0 result."
tex/tables_EFG_appendix.tex,33,150,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,\subsection{F: Frozen SOP Outputs Rescored Against Gold150}
tex/tables_EFG_appendix.tex,36,"150; 150; 2,601; 1; 4",F,output/gold150_v4_subset_score_20260909/SUMMARY.json,"This analysis selects the 150 Gold150 identifiers from previously frozen outputs on the 2,601-record historical reference and scores those outputs against the human reference, retaining complete identifier coverage. It makes no new API calls and does not apply P1 to the archived language models. Table~\ref{tab:appendix-f-sop} uses raw SOP-extract-v4 outputs without additional Jieba boundary alignment; the Qwen row uses the archived parsed SOP output. The reference changes, not the model predictions. These are retrospective cross-reference diagnostics rather than an independent model ranking alongside the fine-tuned students."
tex/tables_EFG_appendix.tex,39,"4; 150,; 150",F,output/gold150_v4_subset_score_20260909/SUMMARY.json,"\caption{Study F: archived SOP-extract-v4 outputs rescored on Gold150, without additional Jieba alignment. Each row covers all 150 identifiers and is a single frozen-output result, not a three-seed training mean or a new API evaluation.}"
tex/tables_EFG_appendix.tex,45,1; 1,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,Archived system & Exact F1 & Relaxed F1 \\
tex/tables_EFG_appendix.tex,47,4.5; 0.3153; 0.4287,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,Claude Sonnet 4.5 SOP & 0.3153 & 0.4287 \\
tex/tables_EFG_appendix.tex,48,5.4; 0.3103; 0.4471,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,GPT-5.4 SOP & 0.3103 & 0.4471 \\
tex/tables_EFG_appendix.tex,49,2.6; 0.3070; 0.4244,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,Kimi k2.6 SOP & 0.3070 & 0.4244 \\
tex/tables_EFG_appendix.tex,50,4; 0.2951; 0.4131,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,DeepSeek v4-pro SOP & 0.2951 & 0.4131 \\
tex/tables_EFG_appendix.tex,51,2.5; 14; 0.2498; 0.3475,F,output/gold150_v4_subset_score_20260909/SUMMARY.json,"Qwen2.5-14B SOP, parsed & 0.2498 & 0.3475 \\"
tex/tables_EFG_appendix.tex,56,"4; 150; 1; 0.2614; 0.2721; 2,601; 0.2854; 4; 4",F,output/gold150_v4_subset_score_20260909/SUMMARY.json,"The older ChatGPT dump used a different \texttt{@@span\#\#} prompt rather than SOP extract v4. Rescoring that dump yields Gold150 exact F1 of 0.2614 without Jieba alignment and 0.2721 with it. These scores are distinct from the archived 2,601-record, Jieba-aligned value of 0.2854. No official \texttt{gpt-4o} SOP-extract-v4 run was performed, so no such row is inferred from this dump."
tex/tables_EFG_appendix.tex,62,"23; 2,150; 1.07; 169; 6; 150; 2,138; 168; 2,156; 169; 6; 2,150; 169; 6; 150; 564; 1882; 0000",G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"The tail audit found the targeted crawler watermark in 23 of 2,150 training records (approximately 1.07\%) and two of 169 development records in the designated \texttt{v6a\_nocross} manifest; no Gold150 record contained it. Tail stripping, removal of emptied records, and exclusion of five additional punctuation-related NFC cross-set matches produced a separate 2,138/168 manifest. The original 2,156/169 v6a and 2,150/169 \texttt{v6a\_nocross} manifests, H/E/M inputs, and Gold150 were not overwritten. The separate H/E/M-E cleaning run retains 564 training records and modifies only record \texttt{1882-s0000}."
tex/tables_EFG_appendix.tex,65,"150; 1; 2,138; 168; 564",G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"\caption{Study G: Gold150 typed exact micro-F1 before and after the separate tail-cleaning reruns (mean $\pm$ sample SD, three seeds). Designated results remain unchanged. The full-pool cleaning runs use the new 2,138/168 manifest; the H/E/M-E rerun retains its 564-record training size.}"
tex/tables_EFG_appendix.tex,73,2; 0.5536; 0.0054; 0.5509; 0.0054,G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,JobBERT B2 & $0.5536\pm0.0054$ & $0.5509\pm0.0054$ \\
tex/tables_EFG_appendix.tex,74,1; 0.1422; 0.0138; 0.1507; 0.0062,G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,JobBERT B1 & $0.1422\pm0.0138$ & $0.1507\pm0.0062$ \\
tex/tables_EFG_appendix.tex,75,0; 0.1215; 0.0092; 0.1071; 0.0102,G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,Qwen P0 & $0.1215\pm0.0092$ & $0.1071\pm0.0102$ \\
tex/tables_EFG_appendix.tex,76,0.4345; 0.0235; 0.4355; 0.0250,G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,H/E/M-E & $0.4345\pm0.0235$ & $0.4355\pm0.0250$ \\
tex/tables_EFG_appendix.tex,81,2; 0; 2; 0; 1,G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"Cleaning does not increase the designated B2 JobBERT or P0 Qwen mean. The JobBERT B2 estimate changes little numerically, whereas the Qwen P0 mean is lower; B1 and H/E/M-E move slightly upward. These descriptive changes do not establish equivalence or a general benefit of removing advertisement text. The full-pool reruns also change training/development membership and duplicate handling, so they are not a pure watermark ablation."
tex/tables_EFG_appendix.tex,86,1; 1; 20260909; 150; 4; 20260909; 20260909; 150,G,output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"The experiment records are \path{P1_CONTRAST_RESULTS.json} under \path{silver_plus_p1_contrast_20260909/}, \path{SUMMARY.json} under \path{gold150_v4_subset_score_20260909/}, and \path{PEEL_RERUN_RESULTS.json} under \path{silver_plus_peel_rerun_20260909/}. Paths are relative to the experiment output root. These records refer to the same frozen Gold150 checksum identified in \nameref{sec:extension-provenance}; a named experiment artifact is not a claim that it has already been included in the cited Zenodo release."
0main.tex,144,150; 0.1,scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,Gold150 and the later experiment artifacts are not included in the cited Zenodo v0.1.1 release; their release status must be distinguished from that historical archive.
6Conclusion.tex,8,2; 1,scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"\rev{The Qwen extension uses only B2 and a JSON-offset output protocol, so its data and checkpoint-selection changes remain confounded with the revised supervision and differ from the historical zero-shot SOP baseline. H/E/M uses a newly initialized CRF and equal-count subsets, but only one fixed source sample; three model seeds characterize run variation rather than sampling uncertainty or statistical significance. H/E denote historical conflict origin rather than objective difficulty. The present study does not include the 1M extension or full legacy-pool reannotation.}"
6Conclusion.tex,10,1; 0; 1; 2; 0,scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"\rev{The completed P1 no-demonstration contrast has a numerically higher mean but a mixed seed-wise direction relative to P0; sample standard deviations alone do not establish a reliable improvement. Adding demonstrations lowers exact F1 in this setup, but the exact--relaxed gap does not by itself identify the error mechanism. Rescoring frozen SOP outputs changes the reference without obtaining new API predictions, while the tail-cleaning reruns leave the B2 encoder estimate numerically close and reduce the P0 Qwen mean. Because cleaning also changes sample membership, these results establish neither a pure watermark effect nor general immunity to crawler artifacts.}"
6Conclusion.tex,21,2,scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"\rev{The additional sensitivity checks leave the B2 encoder estimate numerically close after rare crawler-tail cleaning and show that JSON-offset LoRA remains sensitive to instruction and demonstration choices, with substantial localization difficulty.}"
tex/silver_plus_methods.tex,19,"1; 0; 1; 150; 2,138; 168",scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"\rev{The appendix P1 contrast changes instruction presentation under the same LoRA budget and manifest as the designated P0 run, selecting a checkpoint on frozen-development typed exact F1 with no demonstrations before applying the alternative inference conditions. Frozen historical SOP predictions are also rescored against Gold150 without new API calls. A separate crawler-tail cleaning analysis, affecting approximately one percent of the original no-cross training records, produces a new 2,138/168 manifest without overwriting the designated files. These follow-ups are reported in \nameref{sec:efg-followup} and do not replace the main results.}"
tex/silver_plus_results.tex,48,1; 0,scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,\noindent\textit{Follow-up scope.} The completed P1 instruction/demonstration contrast and tail-cleaning reruns are reported in \nameref{sec:efg-followup}. They do not replace the designated P0 result in Table~\ref{tab:qwen-supplement}.
tex/silver_plus_results.tex,73,"1; 1; 17,460; 1",scope/methods,Author-supplied Cursor handoff 2026-09-09; output/silver_plus_peel_rerun_20260909/PEEL_RERUN_RESULTS.json,"\rev{The mixed and conflict-origin conditions have numerically higher mean exact F1 than the non-conflict-origin condition in this fixed sample (Table~\ref{tab:hem-supplement}). This descriptive ordering and the seed standard deviations provide neither a significance test nor uncertainty over alternative source samples. The smaller training pools and freshly initialized CRF also make these scores distinct from the primary continuation result. The experiment set does not include JobBERT-zh 1M extensions or full reannotation of the earlier 17,460-sentence training pool; the later demonstration-retrieval sensitivity analysis is reported separately in \nameref{sec:p1-contrast}.}"
