n,cross_split,locations,text_preview
10,1,train:67-s0020|train:171-s0028|train:269-s0022|train:1227-s0012|train:1260-s0013|train:1441-s0024|dev:1676-s0007|dev:1712-s0010|test:1803-s0012|test:1913-s0010,来自：马 克 团 队
6,1,train:75-s0001|train:570-s0002|train:872-s0001|train:911-s0013|train:950-s0001|dev:1675-s0001,2、根据市场营销计划，完成部门销售指标；
4,1,train:75-s0002|train:872-s0002|train:911-s0014|dev:1675-s0002,"3、开拓新市场,发展新客户,增加产品销售范围；"
6,0,train:76-s0003|train:446-s0008|train:903-s0017|train:1188-s0007|train:1491-s0006|train:1566-s0014,3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；
4,0,train:76-s0004|train:446-s0009|train:1188-s0008|train:1491-s0007,4、具备一定的市场分析及判断能力，良好的客户服务意识；
10,1,train:76-s0006|train:481-s0013|train:790-s0011|train:989-s0012|train:1151-s0008|train:1375-s0012|train:1561-s0012|dev:1630-s0013|dev:1667-s0013|test:1935-s0010,来自马克数据网
5,1,train:77-s0006|train:156-s0017|train:1038-s0009|dev:1611-s0009|test:1851-s0007,更多详情，请浏览厦门人才网（www.xmrc.com.cn）
12,1,train:79-s0003|train:635-s0010|train:965-s0032|train:1036-s0012|train:1111-s0011|train:1182-s0011|train:1246-s0010|train:1301-s0011|train:1330-s0003|dev:1732-s0006|test:1822-s0012|test:1903-s0010,（macrodatas.cn）
6,1,train:85-s0009|train:334-s0014|train:749-s0020|train:897-s0006|train:1024-s0018|dev:1714-s0007,（macrodatas.cn） （来 自 马 克 数 据 网）
13,0,train:96-s0009|train:154-s0017|train:206-s0010|train:214-s0005|train:335-s0003|train:696-s0004|train:705-s0014|train:846-s0002|train:927-s0008|train:1154-s0009|train:1456-s0008|train:1509-s0011,（来源 马克数据网）
2,0,train:99-s0016|train:605-s0002,3、熟练使用OFFICE办公软件；
38,0,train:101-s0004|train:336-s0039|train:336-s0041|train:336-s0043|train:336-s0045|train:336-s0047|train:767-s0001|train:789-s0012|train:789-s0014|train:1513-s0011|train:1513-s0023|train:1513-s0036,gt;
2,0,train:113-s0011|train:942-s0009,- 不限工作经验，欢迎应届毕业生加入我们的团队。
2,0,train:119-s0002|train:817-s0014,3、定期与合作客户进行沟通，建立良好的长期合作关系；
3,0,train:120-s0007|train:397-s0007|train:705-s0007,2、诚实守信，吃苦耐劳，具有良好的团队精神；
3,0,train:120-s0008|train:397-s0008|train:705-s0008,3、能承受较强的工作压力，愿意挑战高薪；
30,1,train:130-s0010|train:205-s0017|train:226-s0018|train:239-s0002|train:408-s0004|train:568-s0007|train:589-s0008|train:612-s0008|train:748-s0019|train:1028-s0005|train:1084-s0007|train:1132-s0010,]
10,1,train:133-s0006|train:141-s0004|train:822-s0013|train:895-s0014|train:991-s0012|train:1144-s0008|train:1437-s0012|dev:1666-s0010|dev:1680-s0016|test:1926-s0009,来自马-克-数-据-官网
2,0,train:138-s0009|train:562-s0025,上不封顶！
21,1,train:140-s0006|train:209-s0008|train:307-s0017|train:517-s0008|train:602-s0021|train:666-s0011|train:845-s0008|train:995-s0012|train:1015-s0010|train:1027-s0008|train:1058-s0017|train:1230-s0010,", 高薪诚聘"
2,0,train:142-s0008|train:1251-s0009,", 更多详情，请浏览厦门人才网（www.xmrc.com.cn）"
2,0,train:146-s0000|train:802-s0000,详见官网：www.macrodatas.cn 。
14,1,train:147-s0013|train:188-s0006|train:255-s0003|train:319-s0009|train:439-s0014|train:729-s0015|train:808-s0001|train:1026-s0013|train:1082-s0006|train:1090-s0001|train:1113-s0008|train:1117-s0007,来源：百度搜索马克数据网
2,0,train:153-s0002|train:509-s0001,选择大于努力，相信自己，来家德！
2,0,train:153-s0003|train:509-s0002,您会见识到板桥行业领袖的风采！
2,0,train:153-s0004|train:509-s0004,欢迎投递简历或来电咨询，我们会在第一时间与您联系，期待您的加入！
3,0,train:154-s0007|train:472-s0002|train:472-s0016,3、对销售工作有较高的热情；
4,0,train:160-s0000|train:221-s0000|train:388-s0000|train:871-s0000,温馨提示：我们工作地点在江苏苏州，无意来发展请勿打扰，当天来公司面试可安排住宿，入职满一个月工作日无旷工、迟到、早退记录可领取“新员工入职奖励2OOO元！
2,0,train:160-s0001|train:221-s0001,"入职满一个月可报销路费”, 【报名方式】：, 咨询电话：132十9119十8653徐主管（微信同手机号）, 座机0512十8896十3231, 在线QQ：2830十497十658, 微信：132十9119十8653, 薪资待遇：, 1、第一"
4,0,train:160-s0002|train:221-s0002|train:501-s0003|train:875-s0003,", 2、第二转正月综合5000-6000元/月；"
2,0,train:160-s0003|train:221-s0003,", 3、学徒3500-4000元/月；"
2,0,train:160-s0006|train:221-s0006,", 2、要求无传染性疾病，身体健康，能吃苦有责任心, 3、须提供本人身份证原件（身份证复印件一寸照片各6张）；"
2,0,train:160-s0012|train:221-s0012,", 食宿：, 包吃住，宿舍4-8人间，住宿条件优美，（空调，热水，宽带、独立卫生间）。"
2,0,train:160-s0016|train:221-s0016,"（一经录用可当天安排住宿）, 【报名方式】：, 咨询电话：132十9119十8653徐主管（微信同手机号）, 座机0512十8896十3231, 在线QQ：2830十497十658, 微信：132十9119十8653"
12,1,train:181-s0010|train:495-s0007|train:684-s0015|train:1092-s0008|train:1230-s0001|train:1360-s0009|train:1388-s0007|train:1503-s0002|train:1513-s0182|train:1516-s0008|dev:1603-s0006|test:1938-s0009,；
8,1,train:181-s0021|train:333-s0006|train:488-s0004|train:757-s0008|train:1200-s0034|train:1594-s0007|dev:1755-s0039|test:1856-s0001,（来 自 马 克 数 据 网）
2,0,train:187-s0001|train:334-s0001,2、编制预算和执行预算，参与拟订资金筹措和使用方案，确保资金的有效使用；
4,0,train:187-s0002|train:225-s0002|train:334-s0002|train:689-s0002,3、审查公司对外提供的会计资料；
2,0,train:187-s0003|train:334-s0003,4、负责审核公司本部和各下属单位上报的会计报表和集团公司会计报表，编制财务综合分析报告和专题分析报告，为公司领导决策提供可靠的依据；
3,0,train:187-s0004|train:334-s0004|train:689-s0004,5、制订公司内部财务、会计制度和工作程序，经批准后组织实施并监督执行；
3,0,train:187-s0005|train:334-s0005|train:689-s0005,6、组织编制与实现公司的财务收支计划、信贷计划与成本费用计划。
2,0,train:187-s0007|train:689-s0007,2、认真细致，爱岗敬业，吃苦耐劳，有良好的职业操守；
2,0,train:187-s0008|train:689-s0008,3、思维敏捷，接受能力强，能独立思考，善于总结工作经验；
2,0,train:187-s0009|train:689-s0009,4、熟练应用财务及Office办公软件，对金蝶、用友等财务系统有实际操作者优先；
2,0,train:187-s0010|train:689-s0010,5、具有良好的沟通能力；
2,0,train:189-s0000|train:948-s0000,岗位职责1、负责公司前台接待及电话接转；
2,0,train:189-s0008|train:785-s0008,3、工作热情积极、细致耐心，具有良好的沟通能力、协调能力，性格开朗，相貌端正，待人热诚；
7,1,train:191-s0005|train:371-s0008|train:468-s0003|train:579-s0008|train:623-s0002|train:1423-s0003|test:1869-s0008,微信公众号马克 数据网
2,0,train:192-s0000|train:209-s0004,岗位要求： 1、本科及以上学历；
3,0,train:195-s0013|train:861-s0009|train:957-s0010,3、能吃苦耐劳、人品端正、做事认真、勇于担当、敢于负责、适应长期出差；
15,1,train:196-s0016|train:284-s0006|train:309-s0005|train:318-s0013|train:402-s0012|train:708-s0017|train:849-s0009|train:1023-s0016|train:1282-s0011|train:1313-s0004|train:1371-s0032|train:1391-s0010,该数据由<马克数据网>整理
2,0,train:197-s0001|train:923-s0001,2、负责公司网上贸易平台的操作管理和产品信息的发布；
2,0,train:197-s0002|train:923-s0002,3、了解和搜集网络上各同行及竞争产品的动态信息；
2,0,train:197-s0003|train:923-s0003,4、通过网络进行渠道开发和业务拓展；
10,0,train:199-s0015|train:412-s0007|train:718-s0002|train:812-s0002|train:1013-s0020|train:1075-s0006|train:1101-s0017|train:1116-s0005|train:1321-s0015|train:1565-s0007,百度搜索马 克 数 据 网
2,0,train:212-s0001|train:949-s0001,2、负责做好货品销售记录、盘点、账目核对等工作，按规定完成各项销售统计工作；
2,0,train:212-s0002|train:949-s0002,3、完成商品的来货验收、上架陈列摆放、补货、退货、防损等日常营业工作；
2,0,train:212-s0003|train:949-s0003,4、做好所负责区域的卫生清洁工作；
2,0,train:212-s0004|train:949-s0004,5、完成上级领导交办的其他任务。
2,0,train:215-s0007|train:215-s0015,欢迎各地有志之士加入我们，公司提供食宿，工作地址：山东省威海市荣成市张家小区147号楼门市6号。
2,0,train:225-s0007|train:334-s0008,3、认真细致，爱岗敬业，吃苦耐劳，有良好的职业操守；
4,0,train:228-s0003|train:872-s0003|train:911-s0015|train:1188-s0002,4、负责辖区市场信息的收集及竞争对手的分析；
12,0,train:230-s0001|train:369-s0005|train:472-s0028|train:745-s0006|train:904-s0012|train:948-s0012|train:969-s0010|train:972-s0004|train:1067-s0002|train:1369-s0027|train:1516-s0013|train:1525-s0007,详见官网：www.macrodatas.cn
2,0,train:243-s0002|train:927-s0002,3、领导安排的其他任务。
3,0,train:249-s0001|train:813-s0000|train:848-s0000,岗位职责：&nbsp;
2,0,train:250-s0016|train:261-s0017,4、熟悉互联网络，熟练使用网络交流工具和各种办公软件；
3,0,train:269-s0021|train:420-s0063|train:525-s0030,期待你的加入！
3,0,train:282-s0001|train:388-s0003|train:871-s0003,2、第二转正月综合5000-6000元/月；
3,0,train:282-s0006|train:388-s0008|train:871-s0008,4、有长期叉车工作经验优先录用、无经验可做学徒；
3,0,train:282-s0008|train:388-s0010|train:871-s0010,2、认真做好车辆日常维护和保养工作确保叉车安全、整洁。
3,0,train:282-s0009|train:388-s0011|train:871-s0011,3、在转运过程中认真负责货物应按要求规范放置，不得私自外借叉车。
3,0,train:282-s0010|train:388-s0012|train:871-s0012,4、遵守公司规章制度完成车间安排的其它临时任务。
3,0,train:282-s0013|train:388-s0015|train:871-s0015,注：可接收应届生，实习生。
2,0,train:288-s0002|train:1086-s0002,3、完成领导交办的其他工作。
3,0,train:288-s0008|train:780-s0008|train:949-s0009,工作时间：
2,0,train:292-s0003|train:413-s0003,任职资格：1、专科及以上学历；
2,0,train:306-s0003|train:836-s0006,2、五险一金，双休，法定节假日正常休息；
2,0,train:306-s0004|train:836-s0007,3、公司提供员工宿舍，有餐补，有定期员工福利；
2,0,train:334-s0006|train:689-s0006,任职资格： 1、会计相关专业，大专以上学历；
8,1,train:336-s0022|train:854-s0030|train:854-s0032|train:854-s0034|train:854-s0036|train:854-s0038|train:866-s0004|test:1929-s0004,;
2,0,train:337-s0028|train:455-s0017,每周工作5天，休息2天。
2,0,train:337-s0039|train:920-s0014,​ 微信公众号马克 数据网
10,1,train:339-s0017|train:497-s0001|train:605-s0005|train:660-s0014|train:1138-s0005|train:1569-s0011|dev:1619-s0012|dev:1660-s0023|dev:1709-s0016|dev:1743-s0009,关注公众号马克数据网
3,0,train:362-s0004|train:734-s0003|train:1447-s0011,）
2,0,train:366-s0004|train:1491-s0003,4、管理维护客户关系以及客户间的长期战略合作计划。
3,0,train:368-s0003|train:393-s0002|train:412-s0002,3、维护老客户的业务，挖掘客户的最大潜力；
3,0,train:368-s0006|train:393-s0005|train:496-s0004,2、对销售工作有较高的热情；
3,0,train:368-s0007|train:393-s0006|train:496-s0005,3、具备较强的学习能力和优秀的沟通能力；
3,0,train:368-s0008|train:393-s0007|train:496-s0006,4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力；
2,0,train:371-s0007|train:1227-s0011,分享 微信邮件。
2,0,train:374-s0004|train:727-s0001,"2、开发新客户，通过电话与客户进行有效沟通，了解客户需求,寻找销售机会并完成销售业绩。"
2,0,train:374-s0005|train:727-s0002,3、定期与合作客户进行沟通，建立良好的长期合作关系。
2,0,train:374-s0008|train:727-s0004,"2、对销售工作有较高的热情，具备良好的职业操守,以及良好的客户服务意识。"
2,0,train:374-s0009|train:727-s0005,3、具备一定的学习能力，适应能力强；
2,0,train:374-s0011|train:727-s0007,4、能吃苦耐劳，有强烈的赚钱欲望。
2,0,train:374-s0012|train:727-s0008,5、公司提供专业培训，经验不限，学历不限，性别不限，会操作电脑。
2,0,train:374-s0013|train:727-s0009,应届毕业生均可；
2,0,train:374-s0014|train:727-s0010,有相关电话销售工作经验者优先。
2,0,train:374-s0020|train:727-s0020,3、加入我们，您将和一群业界精英共同创造行业第一的历史！
2,0,train:374-s0021|train:727-s0021,4、加入我们，您将得到一个充分展示自己销售才能和快速晋升的舞台！
2,0,train:376-s0001|train:948-s0001,2、收发传真，复印文档，收发信件、报刊、文件等；
2,0,train:376-s0002|train:948-s0002,3、及时更新和管理员工通讯地址和电话号码等联系信息；
2,0,train:376-s0003|train:948-s0003,4、受理会议室预约，协调会议时间，下发会议通知，布置会议室；
2,0,train:376-s0006|train:948-s0006,7、完成上级交给的其它事务性工作。
2,0,train:376-s0009|train:948-s0009,3、熟悉前台工作流程，熟练使用各种办公自动化设备；
2,0,train:376-s0010|train:948-s0010,4、工作热情积极、细致耐心，具有良好的沟通能力、协调能力，性格开朗，相貌端正，待人热诚；
2,0,train:386-s0001|train:386-s0002,招聘啦！
2,0,train:388-s0001|train:871-s0001,入职满一个月可报销路费” 电话报名：132 /9119 /8653?
2,0,train:388-s0002|train:871-s0002,徐主管（微信同手机号） 0512 /8896 /3231 在线QQ：2830 /497 /658 微信：132 /9119 /8653 薪资待遇： 1、第一月试用期薪资综合3500-4000元/月；
2,0,train:388-s0004|train:871-s0004,3、学徒3000-4000元/月；
2,0,train:388-s0006|train:871-s0006,叉车工招聘要求： 1、年龄：16-45岁，男女不限；
2,0,train:388-s0007|train:871-s0007,2、要求无传染性疾病，身体健康，能吃苦有责任心 3、须提供本人身份证原件（身份证复印件4张）；
2,0,train:388-s0009|train:871-s0009,岗位职责: 1、负责做好各类生产辅料、零部件、半成品、废料、生产垃圾等物资的叉运工作。
2,0,train:388-s0013|train:871-s0013,食宿： 包吃住，宿舍6-8人间，住宿条件优美，（空调，热水，宽带、独立卫生间）。
2,0,train:388-s0017|train:871-s0017,（一经录用可当天安排住宿） 电话报名：132 /9119 /8653?
2,0,train:388-s0018|train:871-s0018,徐主管（微信同手机号） 0512 /8896 /3231 在线QQ：2830 /497 /658 微信：132 /9119 /8653
2,0,train:391-s0003|train:391-s0005,法定节假日正常休息；
2,0,train:394-s0002|train:956-s0012,4、具备良好的协调能力、沟通能力，负有责任心，性格活泼开朗，具有亲和力；
2,0,train:397-s0000|train:705-s0000,信友房产欢迎你的到来.无需经验.无论性别.不论年龄.弹性工作.快乐挣钱.让我们一起共创辉煌!
2,0,train:397-s0001|train:705-s0001,工作内容：1、负责客户接待与提供房屋租售咨询与服务；
2,0,train:397-s0002|train:705-s0002,2、了解客户需求，为客户寻找合适租售房源；
2,0,train:397-s0003|train:705-s0003,3、陪同客户看房，促成二手房买卖或租赁业务；
2,0,train:397-s0004|train:705-s0004,4、负责房源与客户跟进、回访、开发工作。
2,0,train:397-s0005|train:705-s0005,5、本公司（信友房产）主打二手房销售。
2,0,train:397-s0009|train:705-s0009,4、欢迎喜欢销售的或应届毕业生加入（信友房产）。
2,0,train:397-s0010|train:705-s0010,薪资待遇：1、底薪1600元—2000元，提成20%—30%，平均月薪3000元—10000元；
2,0,train:397-s0011|train:705-s0011,2、福利年假、病假、奖金、补助、常规节假日、团队旅游、免费培训；
2,0,train:397-s0012|train:705-s0012,3、上班时间早9:00到晚5:00；
2,0,train:397-s0013|train:705-s0013,4、休息为每月4天；
2,0,train:399-s0003|train:762-s0002,3、协助财会文件的准备、归档和保管；
2,0,train:407-s0002|train:407-s0004,#8226;
2,0,train:411-s0012|train:411-s0013,思想进步、热爱本职工作、能够吃苦、愿意在公司长期发展。
8,1,train:411-s0031|train:695-s0011|train:1025-s0008|train:1061-s0014|train:1171-s0010|train:1444-s0008|dev:1661-s0012|dev:1703-s0009,来自：www.macrodatas.cn
2,0,train:430-s0005|train:1582-s0007,4、促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作。
2,0,train:430-s0006|train:1582-s0008,5、打造个人的专业品牌。
2,0,train:430-s0011|train:1582-s0013,4、接受应届毕业生，营销专业者可优先考虑。
10,1,train:431-s0007|train:449-s0029|train:540-s0012|train:821-s0008|train:1005-s0012|train:1009-s0014|train:1133-s0011|train:1499-s0006|dev:1794-s0010|test:1898-s0016,更多数据：www.macrodatas.cn
2,0,train:437-s0001|train:437-s0003,2、一年以上新产品电气控制设计经验，熟练计算机制图；
2,1,train:439-s0004|test:1876-s0009,结业颁发工业和信息化部软件与集成电路促进中心职业技能等级证书，行业内畅通无阻。
2,0,train:440-s0001|train:935-s0001,你想成为美丽的动姐、微笑的天使吗？
2,0,train:440-s0002|train:935-s0002,请到这里来，这里是全国培养动姐、高姐的摇篮！
2,0,train:440-s0003|train:935-s0003,选择这里，你就选择了美丽的人生。
2,0,train:440-s0004|train:935-s0004,阳光、体面、高薪！
2,0,train:440-s0005|train:935-s0005,金鸡报晓2018CRH和谐号最美高铁乘务员官方招聘信息 职位要求： 一、招聘条件： 1.年龄18至30周岁，女身高1.60以上，男1.70以上，形象佳者 可放宽兩厘米 2.身体健康，五官端正，身材匀称，口齿清晰，无色盲，。
2,0,train:440-s0006|train:935-s0006,无慢性、传染性恶疾，。
2,0,train:440-s0007|train:935-s0007,"身体健康,能适应列车员连续工作的特点,无传染病、心脏病、晕车等。"
2,0,train:440-s0008|train:935-s0008,3.服从组织统一安排，热爱铁路事业，思想政治素质好、能吃苦耐劳、有团队精神。
2,0,train:440-s0009|train:935-s0009,二，福利待遇 (动车组乘务人员目前工作时间是“跟二休三”(即跟车两天休息三天) 一个月上12天班 靠工作证坐高铁动车只要不跨国旅游都免费.《无论上下班坐车都免费》。
2,0,train:440-s0010|train:935-s0010,"工资待遇:第一个月在4800左右，第二个月在5500到6500左右，有吃住,交五险。"
2,0,train:440-s0011|train:935-s0011,"上班一天8小时,晚上住铁路公寓。"
2,0,train:440-s0012|train:935-s0012,"休息3天,回家时可以凭工作证坐高铁动车免费。"
2,0,train:440-s0013|train:935-s0013,三、招聘对象 ： 1、社会人员、应届毕业生。
2,0,train:440-s0014|train:935-s0014,"遵纪守法,品德良好, 2、高中、中专、大专学历的均可报名。"
2,0,train:440-s0015|train:935-s0015,条件好初中均可。
2,0,train:440-s0016|train:935-s0016,"3、五官端正,体态匀称,形象好,气质佳,脸上无疤痕和纹身、讲话发音准确、吐词清晰、等。"
2,0,train:440-s0017|train:935-s0017,"4:报名填表时,需要提供本人身份证原件及正反复印件1张、一寸近期正面免冠彩照4张及本人五寸生活照一张、毕业证原件及复印件两张。"
2,0,train:440-s0018|train:935-s0018,"5:头发应梳理整齐并露出前额和耳朵(长发盘起),头发要求是黑色或者自然色,不可以佩戴手链、项链,戒指,耳环等首饰;"
2,0,train:440-s0019|train:935-s0019,"不穿高领服装,不穿紧身裤等。"
2,0,train:440-s0020|train:935-s0020,"思想品德良好,思维反应敏捷,口齿清晰,对工作尽职尽责,能吃苦耐劳者优先。"
2,0,train:440-s0022|train:935-s0022,"6.按照国家规定缴金,提供同行间竞争力的薪金待遇以及广阔的发展空间。"
2,0,train:440-s0023|train:935-s0023,福利政策在职员工可免费乘车。
2,0,train:440-s0024|train:935-s0024,（包括上下班，外出旅游--凭上岗证）上班地点:{各大始发站}上海高铁站.上海开往北京，或者 杭州客运段.合肥.南京.郑州.青岛. 天津、武汉.长沙.北京铁路局其中跨省市的线路 四，面试携带资料：身份证复印件2份一寸蓝底照片4张.6寸生活照一
2,0,train:440-s0025|train:935-s0025,注 本工作为全职工作 不是兼职 请学生和家长沟通好 vx号 （一五二五零一一四八六七） 注意；
2,0,train:440-s0026|train:935-s0026,面试统一在江苏省苏州市火车站附近人民路万达广场3188 号（万达广场|万达广场南）下 应聘本职位报名面试统一苏州，不产生报名费/服装费/培训费!
2,0,train:440-s0027|train:935-s0027,面试成功后；
2,0,train:440-s0028|train:935-s0028,"体检费用/以及自己来回路费,需要个人承担的，其它无任何费用产生。"
26,0,train:440-s0029|train:610-s0002|train:610-s0004|train:610-s0005|train:610-s0006|train:610-s0007|train:610-s0008|train:610-s0012|train:610-s0013|train:610-s0014|train:610-s0015|train:610-s0016,?
2,0,train:440-s0030|train:935-s0030,点击下图微信二维码扫一扫直接咨询 ?
