id,n_occurrences,raw_line_numbers,texts_identical,labels_identical,same_posting,global_ids,classification,suggested_action,n_distinct_texts,n_distinct_label_sets,text_preview
1989-s0001,3,2293|2299|2300,1,0,1,1989|1989|1989,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,"根据《深圳市福田区2023年7月公开选用机关事业单位辅助人员和社区专职工作者公告》要求,现将总成绩及入围体检人员名单等相关事项公告如下：一、入围体检人员入围体检人员名单详见附件。"
1989-s0006,2,2305|2306,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,我们将严格遵守工作纪律，履行保密义务。
1989-s0007,2,2307|2308,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,经调查属实并影响选用，取消选用资格。
1989-s0013,2,2314|2316,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（三）体检项目“招工体检”套餐+血常规。
1989-s0021,2,2319|2324,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,四、政审考生在进入体检人员名单公布后2日内自行办理无犯罪记录证明。
1989-s0022,2,2325|2326,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,凡是存在违反党纪和职务违法、违反法律法规及相关规定、道德品行不佳等情形的，一律不得选用。
1989-s0023,2,2327|2332,1,0,1,1989|1989,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,五、其他事项（一）经体检合格、政审合格及公示没有投诉、经查投诉不实或投诉属实但不影响选用，且不违反关于选用有关规定的，确定为拟用人选。
1989-s0024,2,2328|2333,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,递交入职材料时间另行通知。
1989-s0025,2,2329|2330,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（二）本次招聘由深圳市福田鸿博人力资源有限公司负责联系考生事宜。
1989-s0026,2,2331|2335,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,考生提供的联系电话应准确无误，确保能及时联系。
1989-s0029,2,2334|2338,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（四）咨询电话:0755-8325 9233，咨询时间:工作日上午9:00-12:00，下午2:00-6:00。
1990-s0013,2,2353|2354,1,1,1,1990|1990,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（四）考察、体检：根据考试表现，确定进入考察和体检人选。
1990-s0017,2,2358|2360,1,1,1,1990|1990,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,本人对填报信息的真实性负完全责任，弄虚作假的，取消应聘资格。
1990-s0018,2,2361|2362,1,1,1,1990|1990,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（二）请准确填写联系手机，确保联络畅通。
1991-s0003,2,2368|2375,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,具有海南省户籍或生源地为海南省的全日制大专以上学历的临床医学、中医学类、中西医结合类等医学专业2023年应届毕业生(含尚在择业期内未落实工作单位的2021年、2022年毕业生，不含村医定单定向生)。
1991-s0006,2,2372|2379,1,0,1,1991|1991,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,3.具有良好的品行和职业道德;
1991-s0008,2,2373|2380,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,5.符合招聘职位所需的其他具体条件及资格要求。
1991-s0010,2,2374|2383,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,2.刑事处罚期限未满或涉嫌违法犯罪正在接受调查的;
1991-s0011,2,2382|2385,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,3.在公务员招录、事业单位公开招聘中违纪违规且处理期限未满的;
1991-s0033,2,2407|2408,1,0,1,1991|1991,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,通过资格审查的考生进行面试，面试的具体时间、地点另行通知，请应聘人员保持手机畅通。
1991-s0035,2,2410|2411,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,面试合格分数线为60分，达不到60分的考生，不予聘用。
1991-s0036,2,2403|2412,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,(四)公示。
1991-s0037,2,2413|2423,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,经面试被确定为拟录用人员，由市卫生健康委统一在琼海市人民政府门户网站和公众号“健康琼海”上进行公示，公示时间不少于5个工作日。
1991-s0038,2,2414|2415,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,(五)体检。
1991-s0042,2,2419|2420,1,0,1,1991|1991,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,有意愿从事乡村医生工作的医学专业高校毕业生，经资格审查符合者，可免试注册《乡村医生执业证书》并聘用。
1991-s0045,2,2426|2427,1,1,1,1991|1991,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,四、待遇我市乡村医生待遇包括基本工资和绩效，缴纳社会保险(包括养老、医疗等)和公积金。
1993-s0009,2,2452|2453,1,1,1,1993|1993,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（2）在科研助理岗位工作期间，如有意愿可提供继续深造的机会。
1995-s0001,2,2466|2470,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,现将有关事宜公告如下：一、招聘计划本公告共招聘工作人员40名。
1995-s0013,2,2479|2487,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（三）具备招聘岗位要求的其他资格条件。
1995-s0019,2,2485|2486,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,3.在读的非2023年毕业生（2024年1月1日后取得毕业证、学位证的考生不视为2023年毕业生）；
1995-s0020,2,2488|2492,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,4.现役军人；
1995-s0030,2,2497|2507,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,报名电子邮箱和联系方式详见附件1。
1995-s0036,2,2504|2505,1,0,1,1995|1995,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,4.在读2023年12月31日前毕业尚未取得学历学位证的考生，须提供由本校毕业生就业指导部门签署意见的毕业生就业推荐表；
1995-s0037,2,2506|2510,1,0,1,1995|1995,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,留学回国人员报考的，除需提供规定的材料外，还要发送国家教育部留学人员服务中心出具的《国外学历学位认证书》，硕博连读（直博）者需提供硕博连读（直博）证明，相关材料文件命名方式按上述标准以“4-1材料名称”的格式命名；
1995-s0052,2,2523|2524,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,面试具体时间、地点和采取的面试方式待报名结束后通过邮件通知。
1995-s0053,2,2525|2528,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（二）面试实行百分制，当场打分，满分100分，及格线为60分。
1995-s0087,2,2552|2559,1,1,1,1995|1995,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,东北电力大学人才工作办公室2023年7月3日
1996-s0006,2,2566|2569,1,1,1,1996|1996,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,2.其它职责同上。
1999-s0012,2,2602|2638,1,1,1,1999|1999,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（七）具有以下情形的人员不得报考：1.儋州市卫生健康系统在编在岗人员;
1999-s0018,2,2608|2634,1,1,1,1999|1999,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,7.失信被执行人（人民法院通过司法程序认定的）;
1999-s0019,2,2601|2609,1,1,1,1999|1999,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,8.法律、法规规定的其他不得报考的情形。
1999-s0043,2,2636|2640,1,1,1,1999|1999,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,1.报考人员应在报名规定时间内登录系统进行注册，填写并提交相关资料。
1999-s0072,2,2668|2669,1,0,1,1999|1999,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,（七）公示按各职位拟聘人选考试综合成绩排名顺序，从高分到低分依次选择确定拟聘人选，倾听群众意见，接受社会监督，公示期限为5个工作日。
1999-s0074,2,2671|2672,1,1,1,1999|1999,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（九）办理聘用手续六、纪律要求邀请儋州市卫生健康委员会指导，接受儋州市纪委监委驻市卫健委纪检监察组及社会的监督。
