kind,n,splits,boilerplate,locations,global_ids,preview
exact_text_cross,2,dev|train,0,train:1043-s0002|dev:1645-s0002,1043|1645,３．为客户制定合理的课程；
exact_text_cross,2,dev|train,0,train:1043-s0003|dev:1645-s0003,1043|1645,４．准确收集、统计、整理咨询数据，挖掘有效顾客信息。
exact_text_cross,2,dev|train,1,train:1056-s0013|dev:1733-s0011,1056|1733, 更多数据：搜索马克数据网来源：www.macrodatas.cn
exact_text_cross,2,test|train,0,train:1076-s0018|test:1879-s0006,1076|1879," 福利待遇 免费班车,成长空间,年度旅游,岗位晋升,内部转岗机会,管理规范,美女多,帅哥多,影响亿万用户,五险一金,领先技术,新鲜空气,大平台,弹性工作"
exact_text_cross,6,dev|train,1,train:1189-s0011|train:1458-s0010|train:1485-s0011|dev:1627-s0010|dev:1665-s0011|dev:1682-s0016,1189|1458|1485|1627|1665|1682,微信公众号马克数据网
exact_text_cross,2,dev|train,0,train:1193-s0015|dev:1632-s0009,1193|1632,"福利待遇扁平管理,弹性工作,就近租房补贴,六险一金,股票期权,成长空间大,带薪年假,定期体检,免费三餐"
exact_text_cross,3,dev|test|train,1,train:1239-s0006|dev:1798-s0008|test:1940-s0013,1239|1798|1940, 数据由马 克 数 据整理
exact_text_cross,6,dev|test|train,0,train:1308-s0003|train:1449-s0003|dev:1605-s0002|test:1846-s0002|test:1846-s0003|test:1928-s0004,1308|1449|1605|1846|1846|1928,amp;
exact_text_cross,3,dev|test|train,0,train:1309-s0008|dev:1642-s0007|test:1811-s0008,1309|1642|1811," 福利待遇 扁平管理,弹性工作,大厨定制三餐,就近租房补贴,六险一金,股票期权,成长空间大,双线地铁沿线,mac办公"
exact_text_cross,2,dev|train,0,train:1310-s0012|dev:1706-s0008,1310|1706,"福利待遇扁平管理,弹性工作,大厨定制三餐,就近租房补贴,六险一金,股票期权,成长空间大,双线地铁沿线,mac办公"
exact_text_cross,7,dev|train,0,train:1332-s0000|train:1332-s0010|train:1449-s0014|train:1513-s0108|train:1513-s0224|dev:1783-s0008|dev:1783-s0009,1332|1332|1449|1513|1513|1783|1783,&quot;
exact_text_cross,37,dev|train,0,train:1541-s0000|train:1541-s0007|train:1541-s0010|train:1541-s0013|train:1541-s0016|train:1541-s0021|train:1541-s0024|train:1541-s0027|train:1541-s0031|train:1541-s0034|train:1541-s0037|train:1541-s0040,1541|1541|1541|1541|1541|1541|1541|1541,&lt;
exact_text_cross,69,dev|train,0,train:1541-s0001|train:1541-s0003|train:1541-s0005|train:1541-s0008|train:1541-s0011|train:1541-s0014|train:1541-s0017|train:1541-s0019|train:1541-s0022|train:1541-s0025|train:1541-s0028|train:1541-s0032,1541|1541|1541|1541|1541|1541|1541|1541,br&gt;
exact_text_cross,12,dev|train,0,train:1541-s0002|train:1541-s0046|train:1541-s0048|train:1541-s0052|train:1541-s0058|train:1587-s0002|train:1587-s0008|train:1587-s0022|dev:1781-s0002|dev:1781-s0050|dev:1781-s0080|dev:1781-s0086,1541|1541|1541|1541|1541|1587|1587|1587, &lt;
exact_text_cross,3,dev|train,0,train:1541-s0050|train:1587-s0020|dev:1781-s0078,1541|1587|1781,工作地址：&lt;
exact_text_cross,2,dev|train,0,train:1573-s0000|dev:1620-s0000,1573|1620,该职位来源于猎聘任职要求1.负责公有云解决方案销售及销售运作，负责云产品及相关解决方案的技术包装和营销推广；
exact_text_cross,2,dev|train,0,train:1573-s0001|dev:1620-s0001,1573|1620,2.3年以上公有云产品销售经验，熟悉互联网和云计算相关业务（包含华为云、阿里云、腾讯云等）有华为云、阿里云、腾讯云等产品销售经验及渠道分销经验优先；
exact_text_cross,2,dev|train,0,train:1573-s0002|dev:1620-s0002,1573|1620,3.具备云架构咨询与设计服务能力、HCIA证书者优先录取；
normalized_text_cross,7,test|train,1,train:4-s0008|train:279-s0010|train:456-s0006|train:649-s0010|train:789-s0005|train:1109-s0008|test:1960-s0013,4|279|456|649|789|1109|1960,0优秀应届毕业生亦可
normalized_text_cross,20,dev|test|train,1,train:4-s0010|train:430-s0014|train:474-s0015|train:533-s0005|train:565-s0004|train:712-s0012|train:807-s0013|train:1164-s0005|train:1317-s0011|train:1396-s0014|train:1461-s0000|train:1477-s0006,4|430|474|533|565|712|807|1164,马克数据网
normalized_text_cross,24,dev|test|train,1,train:5-s0010|train:191-s0005|train:244-s0014|train:337-s0039|train:371-s0008|train:460-s0000|train:468-s0003|train:579-s0008|train:623-s0002|train:815-s0005|train:920-s0014|train:1189-s0011,5|191|244|337|371|460|468|579,微信公众号马克数据网
normalized_text_cross,10,dev|test|train,1,train:6-s0009|train:640-s0013|train:704-s0008|train:879-s0015|train:1405-s0006|train:1406-s0002|train:1502-s0008|dev:1715-s0017|dev:1760-s0008|test:1884-s0016,6|640|704|879|1405|1406|1502|1715,来自马克数据
normalized_text_cross,9,dev|train,1,train:16-s0012|train:411-s0031|train:695-s0011|train:1025-s0008|train:1061-s0014|train:1171-s0010|train:1444-s0008|dev:1661-s0012|dev:1703-s0009,16|411|695|1025|1061|1171|1444|1661,来自wwwmacrodatascn
normalized_text_cross,10,dev|test|train,1,train:22-s0004|train:276-s0001|train:1002-s0011|train:1239-s0006|train:1320-s0021|train:1438-s0008|train:1599-s0010|dev:1798-s0008|test:1919-s0009|test:1940-s0013,22|276|1002|1239|1320|1438|1599|1798,数据由马克数据整理
normalized_text_cross,2,dev|train,1,train:25-s0006|dev:1611-s0007,25|1611,0工作认真细致思维敏捷责任心强
normalized_text_cross,15,test|train,1,train:26-s0006|train:291-s0002|train:315-s0023|train:320-s0009|train:525-s0034|train:553-s0039|train:558-s0014|train:672-s0014|train:737-s0009|train:778-s0037|train:906-s0006|train:1017-s0014,26|291|315|320|525|553|558|672,马克数据
normalized_text_cross,14,test|train,1,train:27-s0010|train:109-s0004|train:304-s0018|train:432-s0015|train:549-s0006|train:1077-s0004|train:1110-s0016|train:1118-s0010|train:1155-s0015|train:1318-s0000|train:1454-s0013|train:1558-s0012,27|109|304|432|549|1077|1110|1118,来源马克团队
normalized_text_cross,7,dev|test|train,1,train:29-s0006|train:371-s0007|train:1227-s0011|train:1228-s0008|train:1331-s0008|dev:1800-s0010|test:1930-s0005,29|371|1227|1228|1331|1800|1930,分享微信邮件
normalized_text_cross,23,dev|test|train,1,train:32-s0005|train:42-s0014|train:339-s0017|train:497-s0001|train:605-s0005|train:613-s0013|train:634-s0021|train:660-s0014|train:784-s0008|train:924-s0000|train:1138-s0005|train:1329-s0013,32|42|339|497|605|613|634|660,关注公众号马克数据网
normalized_text_cross,38,dev|test|train,1,train:37-s0007|train:76-s0006|train:101-s0007|train:163-s0007|train:181-s0021|train:333-s0006|train:374-s0026|train:383-s0016|train:469-s0007|train:481-s0013|train:488-s0004|train:658-s0000,37|76|101|163|181|333|374|383,来自马克数据网
normalized_text_cross,26,dev|train,1,train:38-s0015|train:72-s0000|train:96-s0009|train:144-s0007|train:154-s0017|train:206-s0010|train:214-s0005|train:335-s0003|train:696-s0004|train:702-s0017|train:705-s0014|train:728-s0014,38|72|96|144|154|206|214|335,来源马克数据网
normalized_text_cross,42,dev|test|train,1,train:39-s0011|train:40-s0005|train:205-s0016|train:292-s0005|train:407-s0002|train:407-s0004|train:476-s0000|train:476-s0005|train:476-s0008|train:514-s0009|train:610-s0030|train:672-s0006,39|40|205|292|407|407|476|476,0
normalized_text_cross,4,test|train,1,train:41-s0002|train:299-s0002|train:692-s0004|test:1897-s0005,41|299|692|1897,0学习能力强工作热情高富有责任感工作认真细致敬业责任心强
normalized_text_cross,9,dev|test|train,1,train:53-s0009|train:389-s0007|train:957-s0013|train:1122-s0012|train:1216-s0013|train:1240-s0018|train:1411-s0000|dev:1652-s0012|test:1858-s0017,53|389|957|1122|1216|1240|1411|1652,搜索马克数据网
normalized_text_cross,14,dev|test|train,1,train:55-s0016|train:66-s0012|train:259-s0015|train:273-s0008|train:354-s0005|train:539-s0019|train:566-s0008|train:730-s0010|train:886-s0007|train:1372-s0011|dev:1613-s0009|dev:1628-s0009,55|66|259|273|354|539|566|730,更多数据详见马克数据网
normalized_text_cross,10,dev|test|train,1,train:67-s0020|train:171-s0028|train:269-s0022|train:1227-s0012|train:1260-s0013|train:1441-s0024|dev:1676-s0007|dev:1712-s0010|test:1803-s0012|test:1913-s0010,67|171|269|1227|1260|1441|1676|1712,来自马克团队
normalized_text_cross,6,dev|train,1,train:75-s0001|train:570-s0002|train:872-s0001|train:911-s0013|train:950-s0001|dev:1675-s0001,75|570|872|911|950|1675,0根据市场营销计划完成部门销售指标
normalized_text_cross,9,dev|test|train,1,train:75-s0002|train:228-s0002|train:366-s0002|train:872-s0002|train:911-s0014|train:950-s0002|train:1491-s0001|dev:1675-s0002|test:1805-s0002,75|228|366|872|911|950|1491|1675,0开拓新市场发展新客户增加产品销售范围
normalized_text_cross,10,dev|train,1,train:76-s0003|train:228-s0005|train:446-s0008|train:650-s0006|train:872-s0008|train:903-s0017|train:1188-s0007|train:1491-s0006|train:1566-s0014|dev:1682-s0011,76|228|446|650|872|903|1188|1491,0反应敏捷表达能力强具有较强的沟通能力及交际技巧具有亲和力
normalized_text_cross,8,dev|train,1,train:76-s0004|train:446-s0009|train:584-s0005|train:650-s0007|train:872-s0009|train:1188-s0008|train:1491-s0007|dev:1682-s0012,76|446|584|650|872|1188|1491|1682,0具备一定的市场分析及判断能力良好的客户服务意识
normalized_text_cross,8,dev|test|train,1,train:77-s0006|train:142-s0008|train:156-s0017|train:1038-s0009|train:1251-s0009|dev:1611-s0009|dev:1666-s0009|test:1851-s0007,77|142|156|1038|1251|1611|1666|1851,更多详情请浏览厦门人才网wwwxmrccomcn
normalized_text_cross,12,dev|test|train,1,train:79-s0003|train:635-s0010|train:965-s0032|train:1036-s0012|train:1111-s0011|train:1182-s0011|train:1246-s0010|train:1301-s0011|train:1330-s0003|dev:1732-s0006|test:1822-s0012|test:1903-s0010,79|635|965|1036|1111|1182|1246|1301,macrodatascn
normalized_text_cross,7,dev|test|train,1,train:85-s0009|train:334-s0014|train:749-s0020|train:897-s0006|train:1024-s0018|dev:1714-s0007|test:1855-s0000,85|334|749|897|1024|1714|1855,macrodatascn来自马克数据网
normalized_text_cross,43,test|train,1,train:101-s0004|train:336-s0039|train:336-s0041|train:336-s0043|train:336-s0045|train:336-s0047|train:455-s0034|train:767-s0001|train:789-s0012|train:789-s0014|train:1513-s0011|train:1513-s0023,101|336|336|336|336|336|455|767,gt
normalized_text_cross,8,dev|train,1,train:131-s0008|train:240-s0008|train:288-s0002|train:315-s0020|train:558-s0012|train:1075-s0004|train:1086-s0002|dev:1754-s0006,131|240|288|315|558|1075|1086|1754,0完成领导交办的其他工作
normalized_text_cross,12,dev|test|train,1,train:133-s0006|train:141-s0004|train:464-s0000|train:822-s0013|train:895-s0014|train:991-s0012|train:1127-s0010|train:1144-s0008|train:1437-s0012|dev:1666-s0010|dev:1680-s0016|test:1926-s0009,133|141|464|822|895|991|1127|1144,来自马克数据官网
normalized_text_cross,2,test|train,1,train:139-s0003|test:1823-s0005,139|1823,0熟悉htmlcssjavascript
normalized_text_cross,22,dev|test|train,1,train:140-s0006|train:209-s0008|train:307-s0017|train:517-s0008|train:602-s0021|train:666-s0011|train:845-s0008|train:995-s0012|train:1015-s0010|train:1027-s0008|train:1058-s0017|train:1230-s0010,140|209|307|517|602|666|845|995,高薪诚聘
normalized_text_cross,15,dev|train,1,train:147-s0013|train:188-s0006|train:255-s0003|train:319-s0009|train:439-s0014|train:629-s0000|train:729-s0015|train:808-s0001|train:1026-s0013|train:1082-s0006|train:1090-s0001|train:1113-s0008,147|188|255|319|439|629|729|808,来源百度搜索马克数据网
normalized_text_cross,4,test|train,1,train:149-s0013|train:311-s0016|train:311-s0018|test:1960-s0015,149|311|311|1960,0000
normalized_text_cross,5,dev|train,1,train:182-s0001|train:848-s0009|train:1577-s0011|dev:1674-s0005|dev:1715-s0015,182|848|1577|1674|1715,0大专以上学历
normalized_text_cross,3,test|train,1,train:193-s0005|train:929-s0002|test:1938-s0001,193|929|1938,0开发新客户拓展与老客户的业务建立和维护客户档案
normalized_text_cross,16,dev|test|train,1,train:196-s0016|train:284-s0006|train:309-s0005|train:318-s0013|train:402-s0012|train:434-s0000|train:708-s0017|train:849-s0009|train:1023-s0016|train:1282-s0011|train:1313-s0004|train:1371-s0032,196|284|309|318|402|434|708|849,该数据由马克数据网整理
normalized_text_cross,3,dev|train,1,train:249-s0019|train:1255-s0006|dev:1645-s0006,249|1255|1645,0每季度员工聚会员工生日会节日礼物
normalized_text_cross,3,dev|train,1,train:249-s0020|train:1255-s0007|dev:1645-s0007,249|1255|1645,0每年享受国家规定的带薪年假法定节假日等福利
normalized_text_cross,3,test|train,1,train:351-s0002|train:633-s0008|test:1881-s0005,351|633|1881,0完成领导交代的其他工作
normalized_text_cross,2,dev|train,1,train:372-s0014|dev:1644-s0014,372|1644,0带薪年假
normalized_text_cross,11,dev|test|train,1,train:431-s0007|train:449-s0029|train:540-s0012|train:821-s0008|train:1005-s0012|train:1009-s0014|train:1133-s0011|train:1333-s0013|train:1499-s0006|dev:1794-s0010|test:1898-s0016,431|449|540|821|1005|1009|1133|1333,更多数据wwwmacrodatascn
normalized_text_cross,2,test|train,1,train:439-s0004|test:1876-s0009,439|1876,结业颁发工业和信息化部软件与集成电路促进中心职业技能等级证书行业内畅通无阻
normalized_text_cross,2,dev|train,1,train:446-s0006|dev:1682-s0009,446|1682,000年以上销售行业工作经验业绩突出者优先
normalized_text_cross,7,dev|train,1,train:446-s0010|train:584-s0006|train:650-s0008|train:872-s0010|train:1188-s0009|train:1491-s0008|dev:1682-s0013,446|584|650|872|1188|1491|1682,0有责任心能承受较大的工作压力
normalized_text_cross,5,dev|train,1,train:446-s0011|train:872-s0011|train:1188-s0010|train:1491-s0009|dev:1682-s0014,446|872|1188|1491|1682,0有团队协作精神善于挑战
normalized_text_cross,4,test|train,1,train:462-s0002|train:494-s0000|train:1446-s0006|test:1807-s0004,462|494|1446|1807,任职要求0大专及以上学历
normalized_text_cross,9,dev|train,1,train:483-s0013|train:655-s0012|train:735-s0004|train:941-s0014|train:1105-s0023|train:1112-s0011|train:1389-s0008|train:1480-s0010|dev:1730-s0008,483|655|735|941|1105|1112|1389|1480,wwwmacrodatascn
normalized_text_cross,3,dev|train,1,train:495-s0004|train:519-s0001|dev:1625-s0007,495|519|1625,0了解客户需求提供合适房源进行商务谈判
normalized_text_cross,2,test|train,1,train:511-s0006|test:1861-s0005,511|1861,任职要求0本科及以上学历专业不限
normalized_text_cross,2,dev|train,1,train:561-s0003|dev:1610-s0012,561|1610,0与公司各部门配合及时处理商户的反馈投诉和建议提高顾客满意度
normalized_text_cross,5,test|train,1,train:564-s0018|train:827-s0010|train:848-s0032|train:953-s0011|test:1805-s0010,564|827|848|953|1805,来源百度马克数据网
normalized_text_cross,2,test|train,1,train:566-s0004|test:1836-s0008,566|1836,任职要求0大专及以上学历计算机相关专业
normalized_text_cross,96,dev|train,1,train:582-s0000|train:582-s0003|train:582-s0005|train:582-s0008|train:582-s0010|train:582-s0013|train:852-s0000|train:852-s0004|train:852-s0008|train:852-s0010|train:852-s0014|train:852-s0016,582|582|582|582|582|582|852|852,lt
normalized_text_cross,5,dev|test|train,1,train:586-s0001|train:757-s0003|train:876-s0002|dev:1692-s0005|test:1885-s0003,586|757|876|1692|1885,0领导安排的其他工作
normalized_text_cross,2,test|train,1,train:622-s0017|test:1927-s0009,622|1927,0欢迎应届毕业生加入
normalized_text_cross,2,dev|train,1,train:716-s0005|dev:1781-s0066,716|1781,0年终奖
normalized_text_cross,70,dev|train,1,train:852-s0032|train:1541-s0001|train:1541-s0003|train:1541-s0005|train:1541-s0008|train:1541-s0011|train:1541-s0014|train:1541-s0017|train:1541-s0019|train:1541-s0022|train:1541-s0025|train:1541-s0028,852|1541|1541|1541|1541|1541|1541|1541,brgt
normalized_text_cross,2,dev|train,1,train:874-s0007|dev:1689-s0009,874|1689,0熟练使用各种办公软件
normalized_text_cross,2,test|train,1,train:929-s0009|test:1940-s0012,929|1940,能够承受较强的工作压力
normalized_text_cross,2,dev|train,1,train:1018-s0014|dev:1683-s0011,1018|1683,责任心强正直诚实值得信赖
normalized_text_cross,2,test|train,1,train:1021-s0009|test:1924-s0011,1021|1924,抗压能力强
normalized_text_cross,6,dev|train,1,train:1040-s0019|train:1056-s0013|train:1262-s0003|train:1401-s0008|dev:1728-s0010|dev:1733-s0011,1040|1056|1262|1401|1728|1733,更多数据搜索马克数据网来源wwwmacrodatascn
normalized_text_cross,3,dev|train,1,train:1043-s0001|dev:1645-s0001|dev:1738-s0001,1043|1645|1738,0通过电话等方式跟进顾客购买意向提供相应指导促成订单
normalized_text_cross,4,dev|train,1,train:1043-s0002|train:1054-s0002|dev:1645-s0002|dev:1648-s0002,1043|1054|1645|1648,0为客户制定合理的课程
normalized_text_cross,6,dev|train,1,train:1043-s0003|train:1054-s0003|train:1101-s0005|dev:1645-s0003|dev:1648-s0003|dev:1738-s0003,1043|1054|1101|1645|1648|1738,0准确收集统计整理咨询数据挖掘有效顾客信息
normalized_text_cross,2,test|train,1,train:1076-s0018|test:1879-s0006,1076|1879,福利待遇免费班车成长空间年度旅游岗位晋升内部转岗机会管理规范美女多帅哥多影响亿万用户五险一金领先技术新鲜空气大平台弹性工作
normalized_text_cross,2,dev|train,1,train:1092-s0010|dev:1744-s0016,1092|1744,0熟练使用psai等设计软件
normalized_text_cross,2,dev|train,1,train:1192-s0002|dev:1796-s0009,1192|1796,0良好的沟通能力和团队协作能力
normalized_text_cross,2,dev|train,1,train:1193-s0015|dev:1632-s0009,1193|1632,福利待遇扁平管理弹性工作就近租房补贴六险一金股票期权成长空间大带薪年假定期体检免费三餐
normalized_text_cross,2,test|train,1,train:1245-s0004|test:1954-s0004,1245|1954,0年龄00岁
normalized_text_cross,2,dev|train,1,train:1255-s0005|dev:1645-s0005,1255|1645,0签订正式劳动合同完整合规的社会保险和住房公积金以及餐补
