id,domain,status,kimi_status,human_priority,doubao_n_dropped,codex,doubao,kimi,rule,sentence
1802-s0006,人工智能招聘,span_mismatch,pending,True,0,监督/S | 生产系统/K | 改进计划/S,监督/S | 生产系统/K | 改进/S,,生产系统的改进计/K,7、监督生产系统的改进计划和发展。
1802-s0007,人工智能招聘,span_mismatch,pending,True,0,系统管理/S | 虚拟化/K | VMwareESX/S | OpenVZ/S | KVM/S | 脚本语言/K | BashShell/S | Python/S | Web服务器/K | Apache/S | Tomcat/S | 监测/S | Zabbix/S | 基础设施自动化/S | chef/S | Jekins/S,系统管理/S | 虚拟化/K | VMwareESX服务器/S | OpenVZ/S | KVM/S | BashShell/S | Python/S | Apache/S | Tomcat/S | Zabbix/S | 基础设施自动化/S | chef/S | Jekins/S,,系统管理的强/S | 技术背景2/K | 虚拟化经验/K | VMwareESX服务器/OpenVZ、KVM/K | 脚本语言经验/S | Web服务器（Apache，Tomcat/K | 验与监测（Zabbix）6/S | 基础设施自动化经/K,岗位要求Musthava1、5年以上在一个环境下的高级系统管理的强大的技术背景2、虚拟化经验，较强的技术背景（VMwareESX服务器/OpenVZ、KVM）3、用脚本语言经验（BashShell或Python）4、Web服务器（Apache，Tomcat）经验5、经验与监测（Zabbix）6、基础设施自动化经验（chef，Jekins）。
1802-s0008,人工智能招聘,span_mismatch,pending,True,0,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文读写能力/L | 沟通能力/T | 团队合作精神/T,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文/L | 沟通能力/T | 团队合作精神/T,,网络管理或网络工/K | AWS工作/K | 组织性和主动性4/T | 的英文读写能力5/L | 沟通能力和团队合/T,nicetohave1、有网络管理或网络工程工作经验者优先2、与AWS工作经验者优先3、有组织性和主动性4、良好的英文读写能力5、优秀的沟通能力和团队合作精神项目简介:我们公司作为跨国企业InternetBrands中国唯一的离岸研发中心，已经合作了5年多，目前团队技术人员40人，随着合作的深入，计划今年新招20人。
1802-s0009,人工智能招聘,agree_empty,pending,False,0,[],[],,[],在西二旗地铁站附近的京蒙高科办公。
1802-s0010,人工智能招聘,agree_empty,pending,False,0,[],[],,且成员技术水平好/T,项目发展良好，团队稳定且成员技术水平好。
1802-s0011,人工智能招聘,agree_empty,pending,False,0,[],[],,沟通/T | 推广/S | 盈利和增长/T,InternetBrands主要提供平台，辅助企业与客户的沟通，并为企业进行推广，最终实现企业的盈利和增长。
1802-s0012,人工智能招聘,agree_empty,pending,False,0,[],[],,Communication，Reputation和Network/K,目前三大业务模块，Communication，Reputation和Network，每个模块下设多个子模块。
1802-s0013,人工智能招聘,agree_empty,pending,False,0,[],[],,学习并使用美/T | 技术平台/K | 美国先进的项目管/K | 机会到美国学习/T,l在这里你能学习并使用美国潮流软件/技术平台，参与美国先进的项目管理流程，并有机会到美国学习；
1802-s0014,人工智能招聘,agree_empty,pending,False,0,[],[],,[],l在这里有弹性工作时间，无需加班，无需出差；
1802-s0015,人工智能招聘,agree_empty,pending,False,0,[],[],,团队建设活/T | IT服务领/K,l在这里所有的法定权益你都能享受到，额外的还有每月一次的团队建设活动，生日惊喜和节日礼品、办理工作居住证……公司简介北京慧博云通科技股份有限公司，2009年成立，2016年3月在新三板上市，目前公司1100多人，是一家专注于IT服务领域的高科技企业。
1802-s0016,人工智能招聘,agree_empty,pending,False,0,[],[],,技术服务团/K,公司总部设在北京，在无锡设有全资子公司，在上海、成都、杭州、广州、苏州、深圳、南京、武汉等地设有分支机构，在全国范围内建立覆盖广泛的技术服务团队。
1802-s0017,人工智能招聘,empty_mismatch,pending,True,0,大数据/K | 云计算/K | 离岸研发/S | 智能硬件检测/S | 认证/S | 移动通讯终端/K | 测试/S | 评估/S,[],,大数据和云计算的/K | 离岸研发/S | 智能硬/S,公司致力于大数据和云计算的研究与服务，向全球客户提供离岸研发、智能硬件检测与认证、移动通讯终端的测试和评估等专业服务。
1802-s0018,人工智能招聘,agree_empty,pending,False,0,[],[],,[],"已与公司建立了长期稳定的战略合作伙伴关系的知名企业有：Internetbrands,VMware,SAP,Dolby,Technicolor,中化,中国出口信用保险公司，海尔……"
1803-s0000,人工智能招聘,span_mismatch,pending,True,0,亚马逊PPC广告策略/S | 实施推进/S | 制定/S | 优化/S | 投放方案/S,策划/S | 亚马逊PPC广告/K | 实施/S | 优化/S | 投放方案/K,,策划亚/S | 实施推/S | 制定并优化投/S,岗位职责：1、负责策划亚马逊PPC广告策略并实施推进，结合公司产品制定并优化投放方案；
1803-s0001,人工智能招聘,span_mismatch,pending,True,0,投放PPC广告/S | 监控/S | 分析/S,投放/S | PPC广告/K | 监控/S | 分析/S,,投放PPC/S | 监控分/S | 提升广/S | 到投资回报最大化/S,2、投放PPC广告并监控分析广告效果，提升广告有效性以达到投资回报最大化；
1803-s0002,人工智能招聘,span_mismatch,pending,True,0,操作竞价/S | 扩展长尾关键字/S | 调整价格/S | 优化曝光/S | 转化率/K | Listing优化/S,操作竞价/S | 长尾关键字/K | 调整价格/S | 优化/S | Listing优化/S,,操作竞价/S | 扩展长尾关键字/S | Listing优化/S,3、独立操作竞价，如扩展长尾关键字，调整价格，优化曝光与转化率，并协助完成Listing优化；
1803-s0003,人工智能招聘,span_mismatch,pending,True,0,品牌销售战略/K | 管理推广预算/S | Deals促销/S | 站内展示广告/S | 站外推广活动/S,管理推广预算/S,,管理推广预算/S | 配合其/T,4、结合公司品牌销售战略，有效管理推广预算，高效配合其他站内Deals促销、站内展示广告、以及其他站外推广活动；
1803-s0004,人工智能招聘,span_mismatch,pending,True,1,广告数据/K | 全面分析/S | 优化建议/S | 优化广告投放效果/S,优化建议/S | 优化广告投放效果/S,,广告数据进行全面/S | 分析结果给/K | 优化建议/S | 优化广告投放效果/S,5、从各个维度对广告数据进行全面分析，根据分析结果给出优化建议，并不断优化广告投放效果。
1803-s0005,人工智能招聘,span_mismatch,pending,True,0,本科及以上学历/K | 大学英语6级/K | 购物搜索习惯/K,本科及以上学历/K | 大学英语6级/K | 欧美人购物搜索习惯/K,,大学英语6级以上/L | 欧美人购物搜索习/K,岗位要求：1、本科及以上学历，大学英语6级以上水平，熟悉欧美人购物搜索习惯，男女不限；
1803-s0006,人工智能招聘,type_only,pending,True,0,亚马逊PPC广告/S | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/S,亚马逊PPC广告/K | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/K,,亚马逊PPC广告工作/K | Bing等英文/L,"2、一年以上亚马逊PPC广告工作经验，有Google,Yahoo,Bing等英文SEM工作经验者优先；"
1803-s0007,人工智能招聘,span_mismatch,pending,True,2,数据变化敏感/T | 数据分析/S | 挖掘/S | Word/S | Excel/S | PPT/S,数据分析/S | Word/S | Excel/S | PPT/S,,数据分析和挖掘经/S | 使用Word/S | Excel，PPT等办公软件/S,3、对数据变化敏感，较强的数据分析和挖掘经验，熟悉使用Word，Excel，PPT等办公软件；
1803-s0008,人工智能招聘,span_mismatch,pending,True,0,思维敏捷/T | 抗压能力/T | 责任心/T | 学习能力/T | 语言沟通能力/T,抗压能力/T | 责任心/T | 学习能力/T | 沟通能力/T,,思维敏捷有较强抗/T,4、思维敏捷有较强抗压能力，强烈的责任心和学习能力，优秀的语言沟通能力；
1803-s0009,人工智能招聘,agree_spans,pending,False,0,责任心/T | 结果导向/T | 逻辑性强/T | 独立分析/S | 解决问题/S,责任心/T | 结果导向/T | 逻辑性强/T | 独立分析/S | 解决问题/S,,责任心结/T | 逻辑性强/T | 独立分析和解决问/S,5、具有高度的责任心结果导向，逻辑性强，能够独立分析和解决问题。
1803-s0010,人工智能招聘,agree_empty,pending,False,0,[],[],,工作表现优/T | 游泳/S | 唱K/S | 打羽/S | 放松身心/T,我们的福利1）全勤奖:全勤奖员工奖励现金及奖品2）下午茶：HR贤良淑德，每天零食无限量供应，种类随四季天气变化更换3）月度优秀员工：”一起成长、一起升级”每月评选出工作表现优异的员工和优秀事迹4）五险5)每月小活动市内组织：游泳、唱K、打羽毛球、聚餐、厨艺大赛、密室逃脱等6）每年两次大旅游：丰富团队生活，在繁忙的工作中放松身心，每年至少组织2次旅游活动7）节日：春节、端午节、中秋节等节日发放实物性福利?
1803-s0011,人工智能招聘,agree_empty,pending,False,0,[],[],,[],8）外部培训经费9）年假：工作满1年享有带薪年假5天，工作满半年享有带薪年假3天10）享受工龄工资11）绩效奖：每月绩效奖励12）年终奖：按当年工作时间和工作绩效为标准发放年终奖13)加班补助其他提高团队幸福感、积极性、凝聚力的措施及福利，有待完善。
1804-s0000,人工智能招聘,agree_spans,pending,False,0,量化分析/K | 统计学习/K | 机器学习/K | 深度强化学习/K | 运筹优化/K,量化分析/K | 统计学习/K | 机器学习/K | 深度强化学习/K | 运筹优化/K,,量化分析领/K | 统计学习/K | 机器学/K,京东商城-Y事业部-供应链收益管理研发部团队诚招量化分析领域的专家，包括统计学习、机器学习、深度强化学习和运筹优化方向。
1804-s0001,人工智能招聘,empty_mismatch,pending,True,0,技术功底/K | 热忱/T,[],,技术功底和对/K | 研发的热/K | 解决京/S,我们希望您以坚实的技术功底和对研发的热忱，与我们一起解决京东业务上的挑战。
1804-s0002,人工智能招聘,agree_spans,pending,False,0,统计学习/K | 优化算法/K | 商业分析/K | 计算机/K,统计学习/K | 优化算法/K | 商业分析/K | 计算机/K,,统计学习/K | 优化算/K, 我们团队背靠京东强大的营销、数据与软件硬件平台等资源支持，在统计学习、优化算法、商业分析及计算机方面拥有丰富经验。
1804-s0003,人工智能招聘,span_mismatch,pending,True,0,大数据/K | 数据分析/S | 收益管理/K | 定价/S | 选品/S | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 电商领域/K | 统计优化模型/K,数据分析/S | 收益管理/K | 定价与选品/K | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 统计优化模型/K,,数据分析/S | 收益管理中/K | 定价与选品/K | 促销/K | 统计优化模型来解/K,通过基于大数据的数据分析，我们将收益管理中的定价与选品、促销优化、用户行为分析、物流库存优化、客户服务水平等电商领域内的实际业务问题，转化为计算机可识别的统计优化模型来解决。
1804-s0004,人工智能招聘,empty_mismatch,pending,True,0,OR方向/K,[],,斯坦福大学OR/K,我们团队在美国硅谷拥有实验室，并且与斯坦福大学OR方向的著名教授及团队有深入合作。
1804-s0005,人工智能招聘,span_mismatch,pending,True,0,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 产品生命周期/K | 管理/S | 基础运算平台/S | 优化算法/K | 仿真算法/K,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 产品生命周期与管理/K | 供应链基础运算平台/S | 优化算法/K | 仿真算法/K,,动态定价/S | 预测及/S | 用户行为分析/选/S | 供应链基础运算平/S | 常用优化算法与仿/S, 我们团队解决的问题包括动态定价、预测及促销决策、营销效果评估、 用户行为分析/选择模型，产品生命周期与管理等，我们的另一个重要的工作则是供应链基础运算平台的建设，包括常用优化算法与仿真算法的研究与应用。
1804-s0006,人工智能招聘,span_mismatch,pending,True,1,动态定价模型搭建/S | 解决方案/S | 设计/S | 技术支持/S,动态定价模型/S | 理论与技术支持/S,,动态定价模型搭建/S | 合作了/T | 供理论与技术支持/K, 工作职责： 1. 参与JD新一代动态定价模型搭建和具体问题解决方案的设计工作，和业务团队及产品经理合作了解业务背景及需求，并为其提供理论与技术支持。
1804-s0007,人工智能招聘,span_mismatch,pending,True,3,机器学习相关技术/K | 海量数据/K | 处理/S | 分析/S | 建立模型/S | 挖掘/S | 分析关键因素/S | 优化定价/S,机器学习/K | 建立模型/S | 优化定价/S | 促销/S,,运用机/S | 海量数据进行处理/S | 优化定价和促销相/S, 2. 运用机器学习相关技术，对海量数据进行处理和分析，建立模型，挖掘相关信息与分析关键因素，为优化定价和促销相关产品提供数据基础。
1804-s0008,人工智能招聘,span_mismatch,pending,True,2,大数据平台/S | 提取/S | 处理业务数据/S | 数据分析/S | 数据挖掘/S,大数据平台/K | 数据分析/S | 数据挖掘/S,,大数据平台，提取/K | 数据分析和数据挖/S, 3. 基于大数据平台，提取并处理业务数据，通过数据分析和数据挖掘，给出直观的结论及业务洞见。
1804-s0009,人工智能招聘,span_mismatch,pending,True,0,开发机器学习模型/S | 算法/K | 预测/S | 用户行为模型/K,机器学习模型/K | 算法/K | 预测/S | 用户行为模型/K | 用户倾向/K | 市场竞争指数/K | 促销指标/K,,开发机/S | 算法来预测特/S | 用户行为模型、用/K,开发机器学习模型及算法来预测特定指标，如用户行为模型、用户倾向、市场竞争指数、促销指标等。
1804-s0010,人工智能招聘,span_mismatch,pending,True,0,数据挖掘/K | 机器强化学习/K | 优化仿真算法/K | 开发优化模型/S | 最优决策/S,数据挖掘/K | 强化学习/K | 优化仿真算法/K | 开发/S | 优化模型/K | 系统/S,,数据挖掘/K | 机器强/K | 运用到/S | 开发优/S | 系统，给出最/S, 4. 跟进数据挖掘、机器强化学习、优化仿真算法相关技术的业界发展，并合理的运用到实际产品中， 开发优化模型和系统，给出最优决策。
1804-s0011,人工智能招聘,span_mismatch,pending,True,0,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士学位/K,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士/K,,统计机器学习/计/K | 运筹优化/K | 应用数/K, 职位要求： 1. 在统计机器学习/计算机/自动化//运筹优化/应用数学相关领域拥有硕士或博士学位。
1804-s0012,人工智能招聘,agree_spans,pending,False,0,分析/S | 预测/S | 优化/S,分析/S | 预测/S | 优化/S,,分析/S | 预测/S | 优化/S,在分析、预测、优化方向有实际应用经历。
1804-s0013,人工智能招聘,span_mismatch,pending,True,0,数据敏感/T | 发现规律/S,数据敏感/T,,数据敏感，善于从/T,对数据敏感，善于从数据中发现规律。
1804-s0014,人工智能招聘,agree_spans,pending,False,0,机器学习/K | 预测模型/K | logistic regression/K | 神经网络/K | SVM/K | 决策树/K,机器学习/K | 预测模型/K | logistic regression/K | 神经网络/K | SVM/K | 决策树/K,,机器学习中/K | 预测模型/K | logistic regression、 神经网/K, 2. 精通机器学习中的预测模型，如logistic regression、 神经网络、SVM及决策树等。
1804-s0015,人工智能招聘,span_mismatch,pending,True,1,独立研究/S | 工程资料/K | 建模/S,研究/S | 工程资料/K | 建模/S,,研究学术/S | 工程资料/K | 建模/S,可独立研究学术与工程资料，对实际业务问题建模。
1804-s0016,人工智能招聘,agree_spans,pending,False,0,数据驱动优化/S,数据驱动优化/S,,数据驱动优化来解/S,有通过数据驱动优化来解决实际工程的候选者加分。
1804-s0017,人工智能招聘,span_mismatch,pending,True,0,统计语言/K | Python/S | 数据库/K | SQL/S,R/S | Python/S | 数据库/K | SQL/S,,统计语言/K | R或Python/S | 数据库及SQL/K, 3. 熟悉统计语言，如R或Python，熟悉数据库及SQL。
1804-s0018,人工智能招聘,type_only,pending,True,0,分布式/K | 大数据平台/S,分布式/K | 大数据平台/K,,分布式及大数据平/K,基于分布式及大数据平台的优先考虑。
1804-s0019,人工智能招聘,span_mismatch,pending,True,0,编程语言/K | Python/S,算法/K | R/S | Python/S | C/S,,常用算法编程语言/S | 如R/S | C等/S," 4. 掌握常用算法编程语言，如R,Python, C等。"
1804-s0020,人工智能招聘,span_mismatch,pending,True,1,大数据平台/S | 处理/S | 大规模实时数据/K | 机器学习模型/K,大数据平台/K | 实时数据/K | 机器学习模型/K,,大数据平台上处理/K,有在大数据平台上处理大规模实时数据及应用机器学习模型经验者加分。
1805-s0000,人工智能招聘,agree_spans,pending,False,0,销售/S | 推广/S,销售/S | 推广/S,,公司产品的销售及/S,性别：不限驾照：不要求 岗位职责: 1.负责公司产品的销售及推广；
1805-s0001,人工智能招聘,type_only,pending,True,0,营销计划/S,营销计划/K,,[], 2.根据市场指定营销计划；
1805-s0002,人工智能招聘,span_mismatch,pending,True,2,开拓新市场/S | 发展新客户/S | 产品销售/S,销售/S,,开拓新/S | 发展新/S | 增加产/S, 3.开拓新市场，发展新客户，增加产品销售范围；
1805-s0003,人工智能招聘,empty_mismatch,pending,True,2,市场信息/K | 收集/S | 竞争对手/K | 分析/S,[],,市场信息的收集及/K, 4.负责市场信息的收集及竞争对手的分析；
1805-s0004,人工智能招聘,span_mismatch,pending,True,2,跟踪客户使用情况/S | 反馈/S | 处理/S | 技术问题/K | 组装/S | 调试/S | 技术支持/S | 售后问题处理/S,反馈/S | 组装调试/S | 技术支持/S | 售后问题处理/S,,跟踪客户使用情况/S | 反馈并协助处理客/S | 组装调试等技术/S | 售后问题处理/S, 5.跟踪客户使用情况，及时反馈并协助处理客户使用中的技术问题，协助公 司为客户提供组装调试等技术支持以及售后问题处理。
1805-s0005,人工智能招聘,span_mismatch,pending,True,0,销售工作/S | 冲床销售/S | 模具销售/S | 机器人销售/S | 自动化设备销售/S,销售/S | 冲床/K | 模具/K | 机器人/K | 自动化设备/K,,销售工作2/S | 冲床销售/S | 模具销/S, 1.从事销售工作2年以上，有冲床销售、模具销售、机器人销售、自动化设备销售经验者优先考虑；
1805-s0006,人工智能招聘,agree_spans,pending,False,0,性格外向/T | 坦诚/T | 自信/T | 乐观/T | 思维活跃/T,性格外向/T | 坦诚/T | 自信/T | 乐观/T | 思维活跃/T,,[], 2.性格外向、坦诚、自信、乐观、思维活跃；
1805-s0007,人工智能招聘,span_mismatch,pending,True,3,沟通/T | 应变/T | 协调/T | 服务意识/T | 表达能力/T | 销售技巧/S | 谈吐良好/T | 普通话/L,服务意识/T | 表达能力/T | 销售技巧/S | 普通话/L,,沟通/T | 应变、协调/T | 普通话标/L, 3.具备良好的沟通，应变、协调、服务意识、表达能力和销售技巧，谈吐良好， 普通话标准流利；
1805-s0008,人工智能招聘,span_mismatch,pending,True,1,学习能力/T | 开拓精神/T | 吃苦耐劳/T | 独立的工作能力/T,学习能力/T | 开拓精神/T | 吃苦耐劳/T,,学习能力和开拓精/T | 吃苦耐劳/T | 独立的工作能力/T, 4.有很强的学习能力和开拓精神，能吃苦耐劳，有独立的工作能力。
1806-s0000,人工智能招聘,agree_spans,pending,False,0,C语言/S | 数据处理平台/S | Windows/S | Linux/S | 软件开发/S,C语言/S | 数据处理平台/S | Windows/S | Linux/S | 软件开发/S,,使用C语言进/S | 数据处理平台(Windows/K | 开发/S,岗位职责： 1 使用C语言进行数据处理平台(Windows 及 Linux)的软件开发；
1806-s0001,人工智能招聘,agree_spans,pending,False,0,地理空间大数据/K | 处理/S | 编译/S | 转换/S | 压缩/S | 传输/S,地理空间大数据/K | 处理/S | 编译/S | 转换/S | 压缩/S | 传输/S,,地理空间大数据的/K, 2 负责地理空间大数据的处理、编译、转换、压缩及传输工作；
1806-s0002,人工智能招聘,agree_spans,pending,False,0,设计/S | 编码/S | 集成/S | 单元测试/S,设计/S | 编码/S | 集成/S | 单元测试/S,,设计/S | 编码/S | 集成/S, 3 工作范畴包括但不限于：设计、编码、集成及单元测试；
1806-s0003,人工智能招聘,span_mismatch,pending,True,1,技术文档/K | 编写/S | 同行评审/S,同行评审/S,,开发过程技术/S | 的编写及同行评审/S, 4 开发过程技术文档的编写及同行评审。
1806-s0004,人工智能招聘,span_mismatch,pending,True,1,C开发/S | 数据结构/K | 算法/K,数据结构/K | 算法/K,,C开发经验/S | 常用数据结构及算/K, 任职要求： 1 2年以上C开发经验，熟练掌握常用数据结构及算法；
1806-s0005,人工智能招聘,type_only,pending,True,0,面向对象/S | 设计模式/K | 多线程/K | 跨平台编程/S,面向对象/K | 设计模式/K | 多线程/K | 跨平台编程/K,,面向对象/K | 设计模式/S | 多线程/S, 2 深刻理解面向对象、熟悉设计模式、多线程和跨平台编程；
1806-s0006,人工智能招聘,agree_spans,pending,False,0,GPU编程/S,GPU编程/S,,GPU编程经验/S, 3 有GPU编程经验者优先；
1806-s0007,人工智能招聘,span_mismatch,pending,True,1,逻辑性强/T | 思维活跃/T | 渴望学习/T,逻辑性强/T | 思维活跃/T,,逻辑性强/T | 思维活跃/T | 学习/T, 4 逻辑性强，思维活跃，渴望学习。
1806-s0008,人工智能招聘,agree_empty,pending,False,0,[],[],,[], Boss 李欢 8k16k 诚聘
1807-s0000,人工智能招聘,empty_mismatch,pending,True,2,[],运营/S,,[],工资：6k-8k福利：周末双休、法定节假日+五险一金+三节福利+公司旅游+定期团建岗位职责：1.负责平台产品的运营，研究用户需求，分析用户行为数据；
1807-s0001,人工智能招聘,span_mismatch,pending,True,2,优化核心流程转化/S,运营/S,,优化核心流程转化/S,2.负责依据运营目标及用户反馈，优化核心流程转化与产品体验，提高用户活跃和留存；
1807-s0002,人工智能招聘,empty_mismatch,pending,True,3,填充/S | 审核/S | 平台内容/K,[],,填充和审核平/S | 解决在/S, 3.负责填充和审核平台内容，解决在使用平台的过程中遇到的问题。
1807-s0003,人工智能招聘,span_mismatch,pending,True,3,运营渠道/K | 采集/S | 分析/S | 产品数据/K | 用户数据/K | 数据挖掘/S | 用户需求/K | 有效分析/S | 改良建议/S | 推进实施/S,运营/S | 数据挖掘/S | 改良建议/S | 推进实施/S,,采集和分析产/S | 数据挖掘/S | 提出改/S | 推进实施/S,4.掌控运营实施情况，通过多种运营渠道采集和分析产品数据、用户数据、进行数据挖掘，对用户需求进行有效分析，并提出改良建议和推进实施；
1807-s0004,人工智能招聘,agree_spans,pending,False,0,大专及以上学历/K,大专及以上学历/K,,[],任职要求：1、大专及以上学历；
1807-s0005,人工智能招聘,agree_spans,pending,False,0,团队管理/S,团队管理/S,,团队管理/T,2、有一定团队管理；
1807-s0006,人工智能招聘,agree_spans,pending,False,0,智慧校园/K | 信息化建设/S,智慧校园/K | 信息化建设/S,,智慧校园及信息化/K,3、有智慧校园及信息化建设经验者优先；
1808-s0000,人工智能招聘,span_mismatch,pending,True,1,大数据平台/S | 基础开发/S | 维护/S | 分析型可视化/K | 算法可视化/K | 大数据可视化/S | 可视化技术/K,大数据平台/S | 基础开发/S | 维护/S | 算法可视化/K | 数据可视化/S,,大数据平台的基础/S | 分析型可视化、算/S | 建设/S | 推动可视化技术产/S,岗位职责： 1、负责大数据平台的基础开发和维护，参与团队分析型可视化、算法可视化等大数据可视化产品的建设，并推动可视化技术产生更多的业务价值；
1808-s0001,人工智能招聘,span_mismatch,pending,True,4,数据平台/S | 接口的开发/S | 数据查询/S | 提取/S | 新增/S | 更新/S,数据平台/K | 数据查询/S,,数据平台各/K | 接口的开发/S | 数据查询/S | 提取/S, 2、负责数据平台各类接口的开发，支持用户对数据查询、提取、新增、更新等操作；
1808-s0002,人工智能招聘,span_mismatch,pending,True,3,前沿可视化技术/K | 研究/S | 学习新技术/S | 应用/S,可视化技术/K,,尝试各种前沿可视/K | 研究和学习新/S | 将新技术合理的应/S, 3、尝试各种前沿可视化技术与思想，推动团队技术继续前进，具备研究和学习新技术的能力，能够将新技术合理的应用到产品中。
1808-s0003,人工智能招聘,span_mismatch,pending,True,0,数据可视化库/S | HighCharts/S | DataTable/S | ECharts/S | D3.js/S | 项目开发/S,数据可视化库/K | HighCharts/S | DataTable/S | ECharts/S | D3.js/S,,数据可视化库/K | HighCharts/DataTable/ECharts/D3./K | 项目开发经验/S, 岗位要求： 1、掌握数据可视化库，如HighCharts/DataTable/ECharts/D3.js等，有1年以上的实际项目开发经验；
1808-s0004,人工智能招聘,span_mismatch,pending,True,1,JavaScript/S | HTML5/S | CSS3/S | DOM/S | BOM/S | AJAX/S | CSS 动画/S | 移动端浏览器/K | jQuery/S | Zepto/S | Lodash/S,JavaScript/S | HTML5/S | CSS3/S | DOM/S | BOM/S | AJAX/S | jQuery/S | Zepto/S | Lodash/S,,JavaScript、HTML5、CSS3的核心/S | 知悉 jQuery／Zepto／Lodash/K, 2、掌握JavaScript、HTML5、CSS3的核心技术，包括并不仅限于 DOM／BOM／AJAX／CSS 动画等，了解主流移动端浏览器等技术特点，知悉 jQuery／Zepto／Lodash 等主流工具库；
1808-s0005,人工智能招聘,span_mismatch,pending,True,1,前端主流框架/K | React/S | Vue/S | Angular/S,React/S | Vue/S | Angular/S,,前端主流框架/S, 3、了解前端主流框架，例如 React／Vue／Angular；
1808-s0006,人工智能招聘,span_mismatch,pending,True,0,模块化/K | 前端编译/S | 构建工具/S | 编译工具/S | webpack/S | gulp/S,模块化/K | 前端编译/K | 构建工具/K | webpack/S | gulp/S,,模块化/K | 前端编译/K | 常用编译工具/K | 如 webpack／gulp等/S, 4、了解模块化、前端编译和构建工具，掌握常用编译工具，如 webpack／gulp等；
1808-s0007,人工智能招聘,agree_spans,pending,False,0,spring/S | mybatis/S | redis/S | mq/S,spring/S | mybatis/S | redis/S | mq/S,,mq等/K, 5、了解spring、mybatis、redis、mq等框架及其原理实现；
1808-s0008,人工智能招聘,agree_spans,pending,False,0,沟通能力/T | 团队合作精神/T | 分析问题/S | 解决问题/S,沟通能力/T | 团队合作精神/T | 分析问题/S | 解决问题/S,,沟通能力和团队合/T | 分析问题和解决问/S, 6、具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力。
