id,align,source_domain,gold_sentence,simhuman_sentence
1990-s0006,id_text_mismatch,事业单位招聘,（四）身体健康，具有履行岗位职责的身体条件和心理素质；,负责车间鲟鳇鱼的驯化、苗种培育等工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产、生物学、管理学及相关专业本科及以上无35周岁以下10水生动物病害防控病毒病防控技术研究，从事IHN及IPN等病毒病疫苗产业化技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下12水产遗传育种与生物技术研究室鲑鳟遗传育种及经济性状遗传解析从事鲑鳟鱼类遗传育种、基因编辑育种、经济性状遗传解析、基因信息挖掘及功能验证等相关研究工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下13水产品质量安全与标准研究从事水产品质量安全与标准、风险评估与防控、品质评价与加工技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等食品质量与安全、分析化学及相关专业研究生博士35周岁以下15鲟鳇鱼新品种及健康养殖技术的研发与推广从事鲟鳇鱼新品种、新兴养殖模式的开发、利用与推广等相关工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下16工业化养殖和生态工程负责工厂化循环水及池塘养殖设施装备研发等1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等机械自动化及渔业工程等相关专业研究生硕士及以上35周岁以下二、应聘条件（一）具有中华人民共和国国籍，遵守宪法和法律，政治素质高，思想品德好；
1990-s0007,id_text_mismatch,事业单位招聘,（五）具备应聘岗位所需的专业、技能等相关条件。,负责车间鲟鳇鱼的驯化、苗种培育等工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产、生物学、管理学及相关专业本科及以上无35周岁以下10水生动物病害防控病毒病防控技术研究，从事IHN及IPN等病毒病疫苗产业化技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下12水产遗传育种与生物技术研究室鲑鳟遗传育种及经济性状遗传解析从事鲑鳟鱼类遗传育种、基因编辑育种、经济性状遗传解析、基因信息挖掘及功能验证等相关研究工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下13水产品质量安全与标准研究从事水产品质量安全与标准、风险评估与防控、品质评价与加工技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等食品质量与安全、分析化学及相关专业研究生博士35周岁以下15鲟鳇鱼新品种及健康养殖技术的研发与推广从事鲟鳇鱼新品种、新兴养殖模式的开发、利用与推广等相关工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下16工业化养殖和生态工程负责工厂化循环水及池塘养殖设施装备研发等1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等机械自动化及渔业工程等相关专业研究生硕士及以上35周岁以下二、应聘条件（一）具有中华人民共和国国籍，遵守宪法和法律，政治素质高，思想品德好；
1990-s0008,id_text_mismatch,事业单位招聘,三、招聘程序（一）报名：请报名者在9月1日前上网填写信息登记表（https://f.wps.cn/w/x1D1tjkT/或在文末扫码），并下载填写《黑龙江水产研究所2023年度公开招聘工作人员简历》（附件1），将电子版发至招聘邮箱hljzhaopin@hrfri.ac.cn。,（二）热爱渔业，爱岗敬业，事业心和责任感强，具有良好的团队协作和开拓创新精神；
1990-s0009,id_text_mismatch,事业单位招聘,（二）资格审查：对报名人员的应聘资格条件进行审查。,（二）热爱渔业，爱岗敬业，事业心和责任感强，具有良好的团队协作和开拓创新精神；
1990-s0022,id_text_mismatch,事业单位招聘,（三）在条件允许下为在哈无住房的单身职工提供临时性的宿舍。,（三）考试：当审查合格人选满足招考条件时，开始考试，考试内容包括笔试和面试，主要测试招聘岗位所需的专业知识、业务能力、工作技能、英语水平、写作能力等。
1990-s0023,id_text_mismatch,事业单位招聘,（四）符合《新时代龙江人才振兴60条》政策的人才，协助申请A、B、C、D、E类人才300万元、150万元、70万元、35万元、15万元安家补贴。,（三）考试：当审查合格人选满足招考条件时，开始考试，考试内容包括笔试和面试，主要测试招聘岗位所需的专业知识、业务能力、工作技能、英语水平、写作能力等。
1991-s0006,id_text_mismatch,事业单位招聘,3.具有良好的品行和职业道德;,具有海南省户籍或生源地为海南省的全日制大专以上学历的临床医学、中医学类、中西医结合类等医学专业2023年应届毕业生(含尚在择业期内未落实工作单位的2021年、2022年毕业生，不含村医定单定向生)。
1991-s0007,id_text_mismatch,事业单位招聘,4.身体健康，具有正常履行岗位职责的身体条件;,具有海南省户籍或生源地为海南省的全日制大专以上学历的临床医学、中医学类、中西医结合类等医学专业2023年应届毕业生(含尚在择业期内未落实工作单位的2021年、2022年毕业生，不含村医定单定向生)。
1992-s0004,id_text_mismatch,事业单位招聘,二、待遇待遇面议。,3、水暖工：要求相关专业中专及以上学历，有中央空调维修工作经验。
1992-s0005,id_text_mismatch,事业单位招聘,用工方式为劳务派遣。,3、水暖工：要求相关专业中专及以上学历，有中央空调维修工作经验。
1996-s0014,id_text_mismatch,事业单位招聘,四、考核及待遇1.考核及待遇参照西北工业大学非事业编制人员有关规定执行。,二、应聘条件安保员：1.政治立场坚定，遵纪守法、品行端正、沉着冷静、责任心强，学习能力强，具有良好的职业道德操守、团队合作精神及沟通协调能力。
1996-s0015,id_text_mismatch,事业单位招聘,2.岗位工作地点：西北工业大学友谊校区（西安市友谊西路127号）西北工业大学长安校区（西安市长安区东祥路1号）高科工程园区（西安市高新区沣惠南路34号院内）3.安全保卫岗试用期6个月，首次聘期3年。,二、应聘条件安保员：1.政治立场坚定，遵纪守法、品行端正、沉着冷静、责任心强，学习能力强，具有良好的职业道德操守、团队合作精神及沟通协调能力。
1999-s0012,id_text_mismatch,事业单位招聘,（七）具有以下情形的人员不得报考：1.儋州市卫生健康系统在编在岗人员;,（三）具备职位所需的专业知识和技能条件，适应职位要求的身体条件，以及具备职位需要的其他条件；
1999-s0013,id_text_mismatch,事业单位招聘,2.尚未解除党纪、政纪处分或正在接受纪律审查的;,（三）具备职位所需的专业知识和技能条件，适应职位要求的身体条件，以及具备职位需要的其他条件；
