id,batch,status,source_domain,conflict_kind,empty_hint,sentence,prelabel_rule_v4,suggest_codex,suggest_doubao,suggest_kimi,human_spans,comment
1803-s0003,01,todo,人工智能招聘,span_mismatch,,4、结合公司品牌销售战略，有效管理推广预算，高效配合其他站内Deals促销、站内展示广告、以及其他站外推广活动；,管理推广预算/S | 配合其/T,品牌销售战略/K | 管理推广预算/S | Deals促销/S | 站内展示广告/S | 站外推广活动/S,管理推广预算/S,推广预算/S | Deals促销/S | 展示广告/S | 推广活动/S,,
1803-s0004,01,todo,人工智能招聘,span_mismatch,,5、从各个维度对广告数据进行全面分析，根据分析结果给出优化建议，并不断优化广告投放效果。,广告数据进行全面/S | 分析结果给/K | 优化建议/S | 优化广告投放效果/S,广告数据/K | 全面分析/S | 优化建议/S | 优化广告投放效果/S,优化建议/S | 优化广告投放效果/S,广告数据/S | 全面分析/S | 优化建议/S | 广告投放效果/S,,
1803-s0006,01,todo,人工智能招聘,type_only,,"2、一年以上亚马逊PPC广告工作经验，有Google,Yahoo,Bing等英文SEM工作经验者优先；",亚马逊PPC广告工作/K | Bing等英文/L,亚马逊PPC广告/S | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/S,亚马逊PPC广告/K | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/K,亚马逊PPC广告/S | Google/S | Yahoo/S | Bing/S | 英文SEM/S,,
1803-s0007,01,todo,人工智能招聘,span_mismatch,,3、对数据变化敏感，较强的数据分析和挖掘经验，熟悉使用Word，Excel，PPT等办公软件；,数据分析和挖掘经/S | 使用Word/S | Excel，PPT等办公软件/S,数据变化敏感/T | 数据分析/S | 挖掘/S | Word/S | Excel/S | PPT/S,数据分析/S | Word/S | Excel/S | PPT/S,数据分析/S | Word/S | Excel/S | PPT/S | 办公软件/S,,
1803-s0008,01,todo,人工智能招聘,span_mismatch,,4、思维敏捷有较强抗压能力，强烈的责任心和学习能力，优秀的语言沟通能力；,思维敏捷有较强抗/T,思维敏捷/T | 抗压能力/T | 责任心/T | 学习能力/T | 语言沟通能力/T,抗压能力/T | 责任心/T | 学习能力/T | 沟通能力/T,思维敏捷/T | 抗压能力/T | 责任心/T | 学习能力/T | 沟通能力/T,,
1804-s0001,01,todo,人工智能招聘,empty_mismatch,,我们希望您以坚实的技术功底和对研发的热忱，与我们一起解决京东业务上的挑战。,技术功底和对/K | 研发的热/K | 解决京/S,技术功底/K | 热忱/T,[],技术功底/K | 研发/S,,
1804-s0003,01,todo,人工智能招聘,span_mismatch,,通过基于大数据的数据分析，我们将收益管理中的定价与选品、促销优化、用户行为分析、物流库存优化、客户服务水平等电商领域内的实际业务问题，转化为计算机可识别的统计优化模型来解决。,数据分析/S | 收益管理中/K | 定价与选品/K | 促销/K | 统计优化模型来解/K,大数据/K | 数据分析/S | 收益管理/K | 定价/S | 选品/S | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 电商领域/K | 统计优化模型/K,数据分析/S | 收益管理/K | 定价与选品/K | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 统计优化模型/K,数据分析/S | 收益管理/K | 定价/S | 选品/S | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 客户服务水平/S | 统计优化模型/K,,
1804-s0004,01,todo,人工智能招聘,empty_mismatch,,我们团队在美国硅谷拥有实验室，并且与斯坦福大学OR方向的著名教授及团队有深入合作。,斯坦福大学OR/K,OR方向/K,[],OR/K,,
1804-s0005,01,todo,人工智能招聘,span_mismatch,, 我们团队解决的问题包括动态定价、预测及促销决策、营销效果评估、 用户行为分析/选择模型，产品生命周期与管理等，我们的另一个重要的工作则是供应链基础运算平台的建设，包括常用优化算法与仿真算法的研究与应用。,动态定价/S | 预测及/S | 用户行为分析/选/S | 供应链基础运算平/S | 常用优化算法与仿/S,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 产品生命周期/K | 管理/S | 基础运算平台/S | 优化算法/K | 仿真算法/K,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 产品生命周期与管理/K | 供应链基础运算平台/S | 优化算法/K | 仿真算法/K,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 供应链基础运算平台/S | 优化算法/K | 仿真算法/K,,
1804-s0006,01,todo,人工智能招聘,span_mismatch,, 工作职责： 1. 参与JD新一代动态定价模型搭建和具体问题解决方案的设计工作，和业务团队及产品经理合作了解业务背景及需求，并为其提供理论与技术支持。,动态定价模型搭建/S | 合作了/T | 供理论与技术支持/K,动态定价模型搭建/S | 解决方案/S | 设计/S | 技术支持/S,动态定价模型/S | 理论与技术支持/S,动态定价模型搭建/S | 业务背景及需求/K | 技术支持/S,,
1804-s0007,01,todo,人工智能招聘,span_mismatch,, 2. 运用机器学习相关技术，对海量数据进行处理和分析，建立模型，挖掘相关信息与分析关键因素，为优化定价和促销相关产品提供数据基础。,运用机/S | 海量数据进行处理/S | 优化定价和促销相/S,机器学习相关技术/K | 海量数据/K | 处理/S | 分析/S | 建立模型/S | 挖掘/S | 分析关键因素/S | 优化定价/S,机器学习/K | 建立模型/S | 优化定价/S | 促销/S,机器学习/K | 分析/S | 建立模型/S | 分析关键因素/S | 优化定价/S | 促销/S,,
1804-s0008,01,todo,人工智能招聘,span_mismatch,, 3. 基于大数据平台，提取并处理业务数据，通过数据分析和数据挖掘，给出直观的结论及业务洞见。,大数据平台，提取/K | 数据分析和数据挖/S,大数据平台/S | 提取/S | 处理业务数据/S | 数据分析/S | 数据挖掘/S,大数据平台/K | 数据分析/S | 数据挖掘/S,大数据平台/S | 提取/S | 处理业务数据/S | 数据分析/S | 数据挖掘/S | 业务洞见/S,,
1804-s0010,01,todo,人工智能招聘,span_mismatch,, 4. 跟进数据挖掘、机器强化学习、优化仿真算法相关技术的业界发展，并合理的运用到实际产品中， 开发优化模型和系统，给出最优决策。,数据挖掘/K | 机器强/K | 运用到/S | 开发优/S | 系统，给出最/S,数据挖掘/K | 机器强化学习/K | 优化仿真算法/K | 开发优化模型/S | 最优决策/S,数据挖掘/K | 强化学习/K | 优化仿真算法/K | 开发/S | 优化模型/K | 系统/S,数据挖掘/K | 机器强化学习/K | 优化仿真算法/K | 开发/S | 优化模型/K | 系统/S | 最优决策/S,,
1804-s0011,01,todo,人工智能招聘,span_mismatch,, 职位要求： 1. 在统计机器学习/计算机/自动化//运筹优化/应用数学相关领域拥有硕士或博士学位。,统计机器学习/计/K | 运筹优化/K | 应用数/K,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士学位/K,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士/K,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K,,
1804-s0015,01,todo,人工智能招聘,span_mismatch,,可独立研究学术与工程资料，对实际业务问题建模。,研究学术/S | 工程资料/K | 建模/S,独立研究/S | 工程资料/K | 建模/S,研究/S | 工程资料/K | 建模/S,研究学术与工程资料/S | 建模/S,,
1804-s0017,01,todo,人工智能招聘,span_mismatch,, 3. 熟悉统计语言，如R或Python，熟悉数据库及SQL。,统计语言/K | R或Python/S | 数据库及SQL/K,统计语言/K | Python/S | 数据库/K | SQL/S,R/S | Python/S | 数据库/K | SQL/S,R/S | Python/S | SQL/S,,
1804-s0019,01,todo,人工智能招聘,span_mismatch,," 4. 掌握常用算法编程语言，如R,Python, C等。",常用算法编程语言/S | 如R/S | C等/S,编程语言/K | Python/S,算法/K | R/S | Python/S | C/S,R/S | Python/S | C/S,,
1804-s0020,01,todo,人工智能招聘,span_mismatch,,有在大数据平台上处理大规模实时数据及应用机器学习模型经验者加分。,大数据平台上处理/K,大数据平台/S | 处理/S | 大规模实时数据/K | 机器学习模型/K,大数据平台/K | 实时数据/K | 机器学习模型/K,大数据平台/K | 处理大规模实时数据/S | 机器学习模型/K,,
1805-s0001,01,todo,人工智能招聘,type_only,, 2.根据市场指定营销计划；,[],营销计划/S,营销计划/K,[],,
1805-s0002,01,todo,人工智能招聘,span_mismatch,, 3.开拓新市场，发展新客户，增加产品销售范围；,开拓新/S | 发展新/S | 增加产/S,开拓新市场/S | 发展新客户/S | 产品销售/S,销售/S,开拓新市场/S | 发展新客户/S | 增加产品销售范围/S,,
1805-s0004,01,todo,人工智能招聘,span_mismatch,, 5.跟踪客户使用情况，及时反馈并协助处理客户使用中的技术问题，协助公 司为客户提供组装调试等技术支持以及售后问题处理。,跟踪客户使用情况/S | 反馈并协助处理客/S | 组装调试等技术/S | 售后问题处理/S,跟踪客户使用情况/S | 反馈/S | 处理/S | 技术问题/K | 组装/S | 调试/S | 技术支持/S | 售后问题处理/S,反馈/S | 组装调试/S | 技术支持/S | 售后问题处理/S,跟踪客户使用情况/S | 反馈并协助处理客户使用中的技术问题/S | 组装调试/S | 技术支持/S | 售后问题处理/S,,
1806-s0003,01,todo,人工智能招聘,span_mismatch,, 4 开发过程技术文档的编写及同行评审。,开发过程技术/S | 的编写及同行评审/S,技术文档/K | 编写/S | 同行评审/S,同行评审/S,技术文档的编写/S | 同行评审/S,,
1806-s0005,01,todo,人工智能招聘,type_only,, 2 深刻理解面向对象、熟悉设计模式、多线程和跨平台编程；,面向对象/K | 设计模式/S | 多线程/S,面向对象/S | 设计模式/K | 多线程/K | 跨平台编程/S,面向对象/K | 设计模式/K | 多线程/K | 跨平台编程/K,面向对象/K | 设计模式/K | 多线程/S | 跨平台编程/S,,
1807-s0001,01,todo,人工智能招聘,span_mismatch,,2.负责依据运营目标及用户反馈，优化核心流程转化与产品体验，提高用户活跃和留存；,优化核心流程转化/S,优化核心流程转化/S,运营/S,[],,
1807-s0003,01,todo,人工智能招聘,span_mismatch,,4.掌控运营实施情况，通过多种运营渠道采集和分析产品数据、用户数据、进行数据挖掘，对用户需求进行有效分析，并提出改良建议和推进实施；,采集和分析产/S | 数据挖掘/S | 提出改/S | 推进实施/S,运营渠道/K | 采集/S | 分析/S | 产品数据/K | 用户数据/K | 数据挖掘/S | 用户需求/K | 有效分析/S | 改良建议/S | 推进实施/S,运营/S | 数据挖掘/S | 改良建议/S | 推进实施/S,数据挖掘/S,,
1808-s0000,01,todo,人工智能招聘,span_mismatch,,岗位职责： 1、负责大数据平台的基础开发和维护，参与团队分析型可视化、算法可视化等大数据可视化产品的建设，并推动可视化技术产生更多的业务价值；,大数据平台的基础/S | 分析型可视化、算/S | 建设/S | 推动可视化技术产/S,大数据平台/S | 基础开发/S | 维护/S | 分析型可视化/K | 算法可视化/K | 大数据可视化/S | 可视化技术/K,大数据平台/S | 基础开发/S | 维护/S | 算法可视化/K | 数据可视化/S,大数据平台/K | 可视化/S | 算法可视化/S | 大数据可视化/K,,
1808-s0001,01,todo,人工智能招聘,span_mismatch,, 2、负责数据平台各类接口的开发，支持用户对数据查询、提取、新增、更新等操作；,数据平台各/K | 接口的开发/S | 数据查询/S | 提取/S,数据平台/S | 接口的开发/S | 数据查询/S | 提取/S | 新增/S | 更新/S,数据平台/K | 数据查询/S,接口的开发/S | 数据查询/S | 提取/S | 新增/S | 更新/S,,
1808-s0002,01,todo,人工智能招聘,span_mismatch,, 3、尝试各种前沿可视化技术与思想，推动团队技术继续前进，具备研究和学习新技术的能力，能够将新技术合理的应用到产品中。,尝试各种前沿可视/K | 研究和学习新/S | 将新技术合理的应/S,前沿可视化技术/K | 研究/S | 学习新技术/S | 应用/S,可视化技术/K,可视化技术/S | 研究和学习新技术/T | 新技术合理的应用/S,,
1808-s0003,01,todo,人工智能招聘,span_mismatch,, 岗位要求： 1、掌握数据可视化库，如HighCharts/DataTable/ECharts/D3.js等，有1年以上的实际项目开发经验；,数据可视化库/K | HighCharts/DataTable/ECharts/D3./K | 项目开发经验/S,数据可视化库/S | HighCharts/S | DataTable/S | ECharts/S | D3.js/S | 项目开发/S,数据可视化库/K | HighCharts/S | DataTable/S | ECharts/S | D3.js/S,数据可视化库/S | HighCharts/S | DataTable/S | ECharts/S | D3.js/S | 项目开发经验/S,,
1808-s0006,01,todo,人工智能招聘,span_mismatch,, 4、了解模块化、前端编译和构建工具，掌握常用编译工具，如 webpack／gulp等；,模块化/K | 前端编译/K | 常用编译工具/K | 如 webpack／gulp等/S,模块化/K | 前端编译/S | 构建工具/S | 编译工具/S | webpack/S | gulp/S,模块化/K | 前端编译/K | 构建工具/K | webpack/S | gulp/S,模块化/K | 前端编译/K | 构建工具/S | webpack/S | gulp/S,,
1809-s0000,01,todo,人工智能招聘,span_mismatch,,工作职责: 1. 深度理解客户需求，把握客户需求意图，并将商业需求转化为技术语言；,深度理解客户需求/T | 商业需求转化为技/S,客户需求/K | 商业需求转化/S | 技术语言/K,商业需求转化/S | 技术语言/K,深度理解客户需求/T | 商业需求转化为技术语言/S,,
1809-s0002,01,todo,人工智能招聘,span_mismatch,, 3. 将公司技术能力/产品能力转化为商业语言，协助销售进行商业产品解决方提案，并不断深挖客户需求与公司数据能力的结合点；,技术能力/K | 产品能/K | 商业语言/S | 客户需求与公/T | 数据能力的结/K,技术能力/K | 产品能力/K | 商业语言/K | 提案/S | 深挖客户需求/S | 数据能力/K,技术能力/K | 产品能力/K | 商业语言/K | 销售/S,技术能力/K | 产品能力/K | 商业语言/K | 数据能力/K,,
1809-s0003,01,todo,人工智能招聘,span_mismatch,, 4. 探索出符合市场需求的、可标准化、可落地的商业产品解决方案。,可标准化/S | 可落地/S,标准化/S | 落地/S | 商业产品解决方案/S,商业产品解决方案/S,标准化/S | 落地/S,,
1809-s0004,01,todo,人工智能招聘,span_mismatch,, 任职资格: 1. 有5年及以上工作经历（尤其是技术类商业产品售前咨询经历），计算机相关专业背景；,技术类商业产品售/K | 计算机相关专业背/K,售前咨询/S | 计算机相关专业/K,售前咨询/S,技术类商业产品售前咨询/K | 计算机相关专业/K,,
1809-s0006,01,todo,人工智能招聘,span_mismatch,, 3. 具备较强的客户导向意识、良好的客户沟通界面；,客户导向意识/T | 客户沟通界/T,客户导向意识/T | 客户沟通/T,客户导向意识/T,客户导向意识/T | 客户沟通界面/T,,
1810-s0000,01,todo,人工智能招聘,span_mismatch,,工作职责：-负责移动在线广告投放系统的策略设计与优化-应用移动定位、用户画像、机器学习、分类聚类等技术，提高广告系统的用户体验、投放能力及变现效率-主要方向：广告投放策略，CTR预估，广告匹配技术，广告相关性等职位要求：-良好的逻辑思维能力，能够从海量数据中发现有价值的规律-熟悉python等语言编程，数据结构和算法基础扎实-对解决挑战性问题充满热情，善于解决问题和分析问题-良好的团队合作精神，较强的沟通能力和学习能力-熟悉大规模数据挖掘、推荐算法、机器学习算法优化理论等技术者优先-有搜索引擎、推荐系统或广告行业相关背景者优先。,策略设计与优化-/S | 移动定位/K | 用户画/K | 技术/K | 用户体验/K | 投放能/K | 广告投放策略，CTR/K | 逻辑思维能力/T | 海量数据中/K | 规律-/K | python等语言编程，数/S | 挑战性问题充/K | 解决问题和分析问/T | 团队合作精神/T | 沟通能力和学习能/T | 大规模数据挖掘/K | 搜索引擎/K | 推荐系/K,策略设计与优化/S | 移动定位/K | 用户画像/K | 机器学习/K | 分类/S | 聚类/S | 广告投放策略/S | CTR预估/S | 广告匹配技术/K | 广告相关性/K | 逻辑思维能力/T | 发现有价值的规律/S | python/S | 编程/S | 数据结构/K | 算法/K | 解决问题/S | 分析问题/S | 团队合作精神/T | 沟通能力/T | 学习能力/T | 大规模数据挖掘/S | 推荐算法/K | 机器学习算法/K | 优化理论/K | 搜索引擎/K | 推荐系统/K | 广告行业/K,广告投放系统/S | 策略设计/S | 移动定位/K | 用户画像/K | 机器学习/K | 分类聚类/K | 广告投放策略/K | CTR预估/S | 广告匹配技术/K | 广告相关性/K | 逻辑思维能力/T | python/S | 数据结构/K | 算法/K | 解决问题/S | 分析问题/S | 团队合作精神/T | 沟通能力/T | 学习能力/T | 数据挖掘/K | 推荐算法/K | 机器学习算法/K | 优化理论/K | 搜索引擎/K | 推荐系统/K | 广告行业/K,移动定位/K | 用户画像/K | 机器学习/K | 分类聚类/K | 广告投放策略/K | CTR预估/K | 广告匹配技术/K | 广告相关性/K | 逻辑思维能力/T | python/S | 数据结构和算法/K | 解决问题/T | 分析问题/T | 团队合作精神/T | 沟通能力/T | 学习能力/T | 大规模数据挖掘/K | 推荐算法/K | 机器学习算法优化理论/K | 搜索引擎/K | 推荐系统/K,,
1811-s0001,01,todo,人工智能招聘,span_mismatch,,2、与研发、设计、产品与运营团队紧密沟通，推动内部后台产品落地并负责优化更新迭代；,研发/T | 设计/T | 产品/T | 沟通/T | 推动内/T | 落地并负责优/S | 更新迭/S,研发/S | 设计/S | 沟通/T,沟通/T | 产品落地/S | 优化/S | 更新迭代/S,沟通/T | 推动/T | 落地/S | 优化/S | 更新迭代/S,,
1811-s0002,01,todo,人工智能招聘,span_mismatch,,3、可以独立管理项目闭环，从需求评审-UI设计-技术排期-研发-测试-验收-数据检测-问题收集-持续迭代；,管理项/S | 需求评审-UI设计/S,需求评审/S,需求评审/S | UI设计/S | 技术排期/S | 研发/S | 测试/S | 验收/S | 数据检测/S | 问题收集/S | 持续迭代/S,管理项目/S | 需求评审/S | UI设计/S | 技术排期/S | 研发/S | 测试/S | 验收/S | 数据检测/S | 问题收集/S | 持续迭代/S,,
1811-s0003,01,todo,人工智能招聘,span_mismatch,,4、制定合理的数据衡量指标，定期进行数据分析并产出和商业化合作的方案，能统筹协调产品、市场、运营、商业化团队资源将项目落地。,制定合理的数据衡/S | 进行数据分析并产/S | 统筹协调产品、市/T,数据分析/S,数据分析/S | 项目落地/S,数据分析/S | 统筹协调/T | 落地/S,,
1811-s0004,01,todo,人工智能招聘,span_mismatch,,职位要求：1、本科及以上学历，3年以上产品经验，有内容型产品经验优先；,产品经验/K | 内容型产品经验优/K,本科及以上学历/K,本科及以上学历/K | 产品/K | 内容型产品/K,本科及以上学历/K | 产品经验/K | 内容型产品经验/K,,
1811-s0005,02,todo,人工智能招聘,span_mismatch,,2、较强的数据及业务分析能力，善于通过数据分析挖掘问题并制定相应运营策略；,数据及业务分析能/K | 数据分析挖/S | 制定相应/S | 运营策略/K,分析能力/T | 数据分析/S,业务分析/S | 数据分析/S | 运营策略/K,数据分析/S | 挖掘问题/S | 制定/S | 运营策略/K,,
1811-s0006,02,todo,人工智能招聘,span_mismatch,,3、出色的沟通协作和项目管理能力，抗压力强，具备解决复杂问题的能力；,沟通协/T | 项目管理能力，抗/T | 解决复杂问题的能/T,项目管理/S | 解决复杂问题/S,沟通协作/T | 项目管理/S | 解决复杂问题/S,沟通协作/T | 项目管理能力/T | 抗压力/T | 解决复杂问题/T,,
1811-s0007,02,todo,人工智能招聘,span_mismatch,,4、极致判断力和执行力，能适应快速变化和高强度工作压力。,致判断力和执行力/T | 适应快/T | 和高强度工作压力/T,执行力/T,判断力/T | 执行力/T,判断力/T | 执行力/T | 适应快速变化/T,,
1812-s0000,02,todo,人工智能招聘,span_mismatch,,岗位职责：1、智能环保机器人的控制系统设计和代码书写。,控制系统设计和代/S,系统设计/S,智能环保机器人/K | 控制系统设计/S | 代码书写/S,控制系统设计/S | 代码书写/S,,
1812-s0001,02,todo,人工智能招聘,span_mismatch,,2、固液分离系统控制设计和代码书写。,固液分离系统控制/S,固液分离系统控制/K,固液分离系统/K | 控制设计/S | 代码书写/S,固液分离系统控制设计/S | 代码书写/S,,
1812-s0002,02,todo,人工智能招聘,span_mismatch,,"岗位要求：1、计算机科学与技术、自动化、电子信息信息等专业本科以上学历2、精通C/C++,熟悉至少一种嵌入式操作系统，有Linux/Android嵌入式系统开发经验，丰富的软件代码调试经验，有良好的开发习惯文档规范以及编码习惯。",计算机科学与技术/K | C/C++/S | Linux/Android嵌入式系统/S | 软件代码调试经验/S | 开发习惯文/S | 编码习惯/S,计算机科学与技术/K | 自动化/K | 电子信息/K | 本科/K | C++/S | 操作系统/K | Linux/S | Android/S | 系统开发/S | 编码/S,计算机科学与技术/K | 自动化/K | 电子信息/K | 本科以上学历/K | C/C++/S | 嵌入式操作系统/K | Linux/S | Android/S | 嵌入式系统开发/S | 软件代码调试/S | 文档规范/K,计算机科学与技术/K | 自动化/K | 电子信息/K | 本科以上学历/K | C/C++/S | 嵌入式操作系统/K | Linux/Android嵌入式系统开发经验/S | 软件代码调试经验/S | 开发习惯/T | 文档规范/T | 编码习惯/T,,
1812-s0003,02,todo,人工智能招聘,span_mismatch,,"3、精通ARM,DSP或者mips等CPU，精通外围设备驱动的开发调试。","ARM,DSP或者mips/K | 外围设备驱动的开/S",ARM/S | DSP/S | mips/S | CPU/S | 外围设备驱动/S,ARM/K | DSP/K | mips/K,ARM/S | DSP/S | mips/S,,
1812-s0004,02,todo,人工智能招聘,span_mismatch,,4、熟练嵌入式软件设计方法，有程序架构设计经验，对软件的模块化、可移植性有深入理解，精通计算机原理，能重构代码性能。,嵌入式软件设计方/S | 程序架构设计经验/S | 软件的模块化、可/K | 计算机原理/K | 重构代码性能/S,架构设计/S | 软件的模块化/K | 计算机/K,嵌入式软件设计/S | 程序架构设计/S | 模块化/K | 可移植性/K | 计算机原理/K,嵌入式软件设计方法/S | 程序架构设计经验/S | 可移植性/K | 计算机原理/K | 重构代码性能/S,,
1812-s0005,02,todo,人工智能招聘,span_mismatch,,5、会使用GCC编译器6、熟悉modbus通信协议7、熟悉Linux/ARM系统架构（驱动、kernel、BootLoader）者优先8、具有USB/FLASH/CAN/SPI/串口开发经验者优先9、有过机器人竞赛经验者优先。,会使用GCC编译器6/S | modbus通信协议7/K | ARM系统架构（驱动/K | 串口开发经验/S,GCC/S | 编译/S | modbus/S | 通信/K | Linux/S | ARM/S | 系统架构/K | kernel/S | BootLoader/S | USB/S | FLASH/S | CAN/S | SPI/S | 串口/S,GCC编译器/S | modbus通信协议/K | Linux/S | ARM/S | 系统架构/K | kernel/S | BootLoader/S | USB/S | FLASH/S | CAN/S | SPI/S | 串口开发/S,GCC编译器/S | modbus通信协议/K | Linux/ARM系统架构/K | USB/FLASH/CAN/SPI/串口开发经验/S,,
