system,family,reference_length_bucket,n_reference_spans,n_predicted_spans_in_same_length_bucket,exact_tp,typed_exact_precision,typed_exact_recall,typed_exact_f1,relaxed_tp,typed_relaxed_precision,typed_relaxed_recall,typed_relaxed_f1,reference_conditioned_exact_recall,reference_conditioned_relaxed_recall,mean_predicted_span_length_all_predictions,metric_definition
gpt-5.4,Zero-shot language model,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,2,369,1002,153,0.15269461077844312,0.4146341463414634,0.22319474835886213,153,0.15269461077844312,0.4146341463414634,0.22319474835886213,0.4146341463414634,0.4878048780487805,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,3,257,430,77,0.17906976744186046,0.29961089494163423,0.22416302765647741,77,0.17906976744186046,0.29961089494163423,0.22416302765647741,0.29961089494163423,0.4591439688715953,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,4,1009,1740,367,0.21091954022988504,0.36372646184340934,0.2670061840669334,367,0.21091954022988504,0.36372646184340934,0.2670061840669334,0.36372646184340934,0.5044598612487612,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,5,444,367,86,0.23433242506811988,0.19369369369369369,0.2120838471023428,86,0.23433242506811988,0.19369369369369369,0.2120838471023428,0.19369369369369369,0.4166666666666667,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,6,666,772,179,0.23186528497409326,0.26876876876876876,0.24895688456189152,182,0.23575129533678757,0.2732732732732733,0.2531293463143255,0.26876876876876876,0.506006006006006,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,7,793,279,61,0.21863799283154123,0.07692307692307693,0.11380597014925374,63,0.22580645161290322,0.07944514501891552,0.11753731343283584,0.07692307692307693,0.4527112232030265,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
gpt-5.4,Zero-shot language model,8+,653,545,71,0.13027522935779817,0.10872894333843798,0.11853088480801337,110,0.2018348623853211,0.16845329249617153,0.18363939899833054,0.10872894333843798,0.41347626339969373,4.654138266796495,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,2,369,910,135,0.14835164835164835,0.36585365853658536,0.21110242376856916,135,0.14835164835164835,0.36585365853658536,0.21110242376856916,0.36585365853658536,0.43089430894308944,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,3,257,407,66,0.16216216216216217,0.25680933852140075,0.19879518072289157,66,0.16216216216216217,0.25680933852140075,0.19879518072289157,0.25680933852140075,0.39299610894941633,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,4,1009,1586,336,0.21185372005044137,0.3330029732408325,0.2589595375722543,336,0.21185372005044137,0.3330029732408325,0.2589595375722543,0.3330029732408325,0.44598612487611494,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,5,444,323,71,0.21981424148606812,0.15990990990990991,0.18513689700130379,71,0.21981424148606812,0.15990990990990991,0.18513689700130379,0.15990990990990991,0.36711711711711714,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,6,666,651,150,0.2304147465437788,0.22522522522522523,0.22779043280182232,152,0.23348694316436253,0.22822822822822822,0.23082763857251326,0.22522522522522523,0.42492492492492495,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,7,793,204,43,0.2107843137254902,0.05422446406052964,0.08625877632898697,45,0.22058823529411764,0.05674653215636822,0.09027081243731194,0.05422446406052964,0.3656998738965952,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
deepseek-v4-pro,Zero-shot language model,8+,653,255,43,0.16862745098039217,0.06584992343032159,0.0947136563876652,57,0.2235294117647059,0.08728943338437979,0.12555066079295155,0.06584992343032159,0.35222052067381315,4.305350553505535,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,2,369,904,130,0.14380530973451328,0.3523035230352303,0.204241948153967,130,0.14380530973451328,0.3523035230352303,0.204241948153967,0.3523035230352303,0.43089430894308944,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,3,257,415,76,0.18313253012048192,0.29571984435797666,0.2261904761904762,76,0.18313253012048192,0.29571984435797666,0.2261904761904762,0.29571984435797666,0.42412451361867703,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,4,1009,1687,333,0.1973918197984588,0.33002973240832506,0.24703264094955488,333,0.1973918197984588,0.33002973240832506,0.24703264094955488,0.33002973240832506,0.46878097125867196,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,5,444,391,86,0.21994884910485935,0.19369369369369369,0.2059880239520958,86,0.21994884910485935,0.19369369369369369,0.2059880239520958,0.19369369369369369,0.4099099099099099,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,6,666,764,157,0.2054973821989529,0.23573573573573572,0.21958041958041957,161,0.2107329842931937,0.24174174174174173,0.22517482517482518,0.23573573573573572,0.46996996996997,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,7,793,268,59,0.22014925373134328,0.07440100882723834,0.1112158341187559,60,0.22388059701492538,0.07566204287515763,0.11310084825636192,0.07440100882723834,0.43757881462799497,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
kimi-k2.6,Zero-shot language model,8+,653,487,60,0.12320328542094455,0.09188361408882083,0.10526315789473684,88,0.1806981519507187,0.13476263399693722,0.1543859649122807,0.09188361408882083,0.3874425727411945,4.643205858421481,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,2,369,519,91,0.17533718689788053,0.24661246612466126,0.20495495495495494,91,0.17533718689788053,0.24661246612466126,0.20495495495495494,0.24661246612466126,0.2981029810298103,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,3,257,343,68,0.19825072886297376,0.26459143968871596,0.2266666666666667,68,0.19825072886297376,0.26459143968871596,0.2266666666666667,0.26459143968871596,0.38910505836575876,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,4,1009,1337,291,0.21765145848915482,0.288404360753221,0.24808184143222506,291,0.21765145848915482,0.288404360753221,0.24808184143222506,0.288404360753221,0.37462834489593655,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,5,444,307,77,0.250814332247557,0.17342342342342343,0.20505992010652463,77,0.250814332247557,0.17342342342342343,0.20505992010652463,0.17342342342342343,0.3761261261261261,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,6,666,606,150,0.24752475247524752,0.22522522522522523,0.23584905660377356,152,0.2508250825082508,0.22822822822822822,0.23899371069182387,0.22522522522522523,0.42342342342342343,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,7,793,243,55,0.22633744855967078,0.06935687263556116,0.10617760617760619,59,0.24279835390946503,0.07440100882723834,0.11389961389961391,0.06935687263556116,0.4060529634300126,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
claude-sonnet-4-5,Zero-shot language model,8+,653,424,54,0.12735849056603774,0.08269525267993874,0.10027855153203342,85,0.20047169811320756,0.13016845329249618,0.15784586815227486,0.08269525267993874,0.35222052067381315,4.857369674517068,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,1,0,199,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,2,369,459,70,0.15250544662309368,0.1897018970189702,0.16908212560386476,70,0.15250544662309368,0.1897018970189702,0.16908212560386476,0.1897018970189702,0.26558265582655827,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,3,257,323,63,0.19504643962848298,0.245136186770428,0.21724137931034482,63,0.19504643962848298,0.245136186770428,0.21724137931034482,0.245136186770428,0.31906614785992216,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,4,1009,980,244,0.24897959183673468,0.24182358771060455,0.24534942182001007,244,0.24897959183673468,0.24182358771060455,0.24534942182001007,0.24182358771060455,0.3211100099108028,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,5,444,262,66,0.25190839694656486,0.14864864864864866,0.18696883852691215,66,0.25190839694656486,0.14864864864864866,0.18696883852691215,0.14864864864864866,0.29504504504504503,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,6,666,485,115,0.23711340206185566,0.17267267267267267,0.1998262380538662,117,0.24123711340206186,0.17567567567567569,0.20330147697654213,0.17267267267267267,0.31681681681681684,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,7,793,212,48,0.22641509433962265,0.0605296343001261,0.0955223880597015,50,0.2358490566037736,0.06305170239596469,0.09950248756218906,0.0605296343001261,0.2837326607818411,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Qwen2.5-14B-Instruct,Zero-shot language model,8+,653,348,37,0.10632183908045977,0.05666156202143951,0.07392607392607392,62,0.1781609195402299,0.09494640122511486,0.1238761238761239,0.05666156202143951,0.2327718223583461,4.634638922888617,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,1,0,192,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,2,369,356,20,0.056179775280898875,0.05420054200542006,0.05517241379310345,20,0.056179775280898875,0.05420054200542006,0.05517241379310345,0.05420054200542006,0.06775067750677506,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,3,257,266,20,0.07518796992481203,0.07782101167315175,0.07648183556405354,20,0.07518796992481203,0.07782101167315175,0.07648183556405354,0.07782101167315175,0.0933852140077821,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,4,1009,635,70,0.11023622047244094,0.06937561942517344,0.08515815085158152,70,0.11023622047244094,0.06937561942517344,0.08515815085158152,0.06937561942517344,0.09117938553022795,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,5,444,148,19,0.12837837837837837,0.04279279279279279,0.06418918918918919,19,0.12837837837837837,0.04279279279279279,0.06418918918918919,0.04279279279279279,0.10135135135135136,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,6,666,219,30,0.136986301369863,0.04504504504504504,0.06779661016949153,30,0.136986301369863,0.04504504504504504,0.06779661016949153,0.04504504504504504,0.0960960960960961,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,7,793,87,13,0.14942528735632185,0.01639344262295082,0.029545454545454552,14,0.16091954022988506,0.017654476670870115,0.03181818181818182,0.01639344262295082,0.08701134930643127,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
Llama-3-8B-Instruct,Zero-shot language model,8+,653,87,8,0.09195402298850575,0.01225114854517611,0.02162162162162162,14,0.16091954022988506,0.021439509954058193,0.03783783783783783,0.01225114854517611,0.06891271056661562,3.8944723618090453,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
