split,kind,key,n,frac
v4_hybrid_test,char_len,14,13,0.0031
v4_hybrid_test,char_len,15,14,0.0033
v4_hybrid_test,char_len,16,8,0.0019
v4_hybrid_test,char_len,17,12,0.0029
v4_hybrid_test,char_len,18,12,0.0029
v4_hybrid_test,char_len,19,9,0.0021
v4_hybrid_test,char_len,20,4,0.001
v4_hybrid_test,char_len,21+,41,0.0098
v4_hybrid_test,char_band,short<=5,1937,0.4622
v4_hybrid_test,char_band,long>5,2254,0.5378
v4_hybrid_test,type_L,short<=5,10,0.0024
v4_hybrid_test,type_L,long>5,23,0.0055
v4_hybrid_test,type_K,short<=5,627,0.1496
v4_hybrid_test,type_K,long>5,743,0.1773
v4_hybrid_test,type_S,short<=5,948,0.2262
v4_hybrid_test,type_S,long>5,1142,0.2725
v4_hybrid_test,type_T,short<=5,352,0.084
v4_hybrid_test,type_T,long>5,346,0.0826
v4_hybrid_test,total_spans,all,4191,1.0
v4_hybrid_test,mean_char,all,5.9828,
v4_hybrid_test,mean_tok,all,5.3772,
train_v4_silver,char_len,1,0,0.0
train_v4_silver,char_len,2,2568,0.1017
train_v4_silver,char_len,3,4159,0.1647
train_v4_silver,char_len,4,4150,0.1643
train_v4_silver,char_len,5,2685,0.1063
train_v4_silver,char_len,6,2435,0.0964
train_v4_silver,char_len,7,874,0.0346
train_v4_silver,char_len,8,7068,0.2799
train_v4_silver,char_len,9,171,0.0068
train_v4_silver,char_len,10,227,0.009
train_v4_silver,char_len,11,100,0.004
train_v4_silver,char_len,12,138,0.0055
train_v4_silver,char_len,13,130,0.0051
train_v4_silver,char_len,14,60,0.0024
train_v4_silver,char_len,15,49,0.0019
train_v4_silver,char_len,16,55,0.0022
train_v4_silver,char_len,17,61,0.0024
train_v4_silver,char_len,18,37,0.0015
train_v4_silver,char_len,19,20,0.0008
train_v4_silver,char_len,20,24,0.001
train_v4_silver,char_len,21+,242,0.0096
train_v4_silver,char_band,short<=5,13562,0.537
train_v4_silver,char_band,long>5,11691,0.463
train_v4_silver,type_L,short<=5,221,0.0088
train_v4_silver,type_L,long>5,118,0.0047
train_v4_silver,type_K,short<=5,3358,0.133
train_v4_silver,type_K,long>5,2912,0.1153
train_v4_silver,type_S,short<=5,6151,0.2436
train_v4_silver,type_S,long>5,6264,0.248
train_v4_silver,type_T,short<=5,3832,0.1517
train_v4_silver,type_T,long>5,2397,0.0949
train_v4_silver,total_spans,all,25253,1.0
train_v4_silver,mean_char,all,5.7341,
train_v4_silver,mean_tok,all,5.2372,
train_goldstyle_v3,char_len,1,0,0.0
train_goldstyle_v3,char_len,2,2062,0.0812
train_goldstyle_v3,char_len,3,3653,0.1438
train_goldstyle_v3,char_len,4,4147,0.1633
train_goldstyle_v3,char_len,5,2656,0.1046
train_goldstyle_v3,char_len,6,2859,0.1126
train_goldstyle_v3,char_len,7,625,0.0246
train_goldstyle_v3,char_len,8,706,0.0278
train_goldstyle_v3,char_len,9,870,0.0343
train_goldstyle_v3,char_len,10,606,0.0239
train_goldstyle_v3,char_len,11,991,0.039
train_goldstyle_v3,char_len,12,852,0.0335
train_goldstyle_v3,char_len,13,4242,0.167
train_goldstyle_v3,char_len,14,155,0.0061
train_goldstyle_v3,char_len,15,189,0.0074
train_goldstyle_v3,char_len,16,89,0.0035
train_goldstyle_v3,char_len,17,81,0.0032
train_goldstyle_v3,char_len,18,78,0.0031
train_goldstyle_v3,char_len,19,50,0.002
train_goldstyle_v3,char_len,20,39,0.0015
train_goldstyle_v3,char_len,21+,451,0.0178
train_goldstyle_v3,char_band,short<=5,12518,0.4928
train_goldstyle_v3,char_band,long>5,12883,0.5072
train_goldstyle_v3,type_L,short<=5,212,0.0083
train_goldstyle_v3,type_L,long>5,140,0.0055
train_goldstyle_v3,type_K,short<=5,3031,0.1193
train_goldstyle_v3,type_K,long>5,3274,0.1289
train_goldstyle_v3,type_S,short<=5,5756,0.2266
train_goldstyle_v3,type_S,long>5,6775,0.2667
train_goldstyle_v3,type_T,short<=5,3519,0.1385
train_goldstyle_v3,type_T,long>5,2694,0.1061
train_goldstyle_v3,total_spans,all,25401,1.0
train_goldstyle_v3,mean_char,all,7.3456,
train_goldstyle_v3,mean_tok,all,6.7106,
